Accession,Description,Norm Avg Ratio
Q9Y4W6,AFG3-like protein 2,0.72628239
P42345,Serine/threonine-protein kinase mTOR,0.726254558
P63027,Vesicle-associated membrane protein 2,0.72617061
P35232,Prohibitin,0.726115394
P52434,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",0.726032687
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,0.726020659
P10301,Ras-related protein R-Ras,0.725764703
P10114,Ras-related protein Rap-2a,0.725558741
Q96DB5,Regulator of microtubule dynamics protein 1,0.725402727
Q9Y265,RuvB-like 1,0.725352253
P63173,60S ribosomal protein L38,0.725285981
Q08211,ATP-dependent RNA helicase A,0.725269281
P59998,Actin-related protein 2/3 complex subunit 4,0.725247015
Q9UDX5,Mitochondrial fission process protein 1,0.725224749
P49790,Nuclear pore complex protein Nup153,0.725011662
P62993,Growth factor receptor-bound protein 2,0.724746027
P52566,Rho GDP-dissociation inhibitor 2,0.724606864
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.724417601
O43143,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,0.724314572
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,0.724300889
P18754,Regulator of chromosome condensation,0.724234435
Q12905,Interleukin enhancer-binding factor 2,0.724178086
Q9C0E8,Protein lunapark,0.724146646
P35270,Sepiapterin reductase,0.723941063
P36543,V-type proton ATPase subunit E 1,0.723938879
Q92685,Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase,0.723612561
P52565,Rho GDP-dissociation inhibitor 1,0.723554789
P62861,40S ribosomal protein S30,0.72351542
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",0.723478479
Q05639,Elongation factor 1-alpha 2,0.723242721
O75694,Nuclear pore complex protein Nup155,0.722979817
Q9HD33,"39S ribosomal protein L47, mitochondrial",0.722919589
O95163,Elongator complex protein 1,0.722549625
Q12907,Vesicular integral-membrane protein VIP36,0.722424782
Q9BV40,Vesicle-associated membrane protein 8,0.722391383
Q99627,COP9 signalosome complex subunit 8,0.72237415
Q9Y248,DNA replication complex GINS protein PSF2,0.721742289
P38606,V-type proton ATPase catalytic subunit A,0.721656601
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3,0.721567536
Q15070,Mitochondrial inner membrane protein OXA1L,0.721433939
P26640,Valyl-tRNA synthetase,0.721339165
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,0.721083248
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.721043935
Q8NEW0,Zinc transporter 7,0.720969394
Q9ULX3,RNA-binding protein NOB1,0.720850391
P15311,Ezrin,0.720554427
P07355,Annexin A2,0.720532161
O43156,TEL2-interacting protein 1 homolog,0.720503151
Q9Y490,Talin-1,0.720370731
Q9BSR8,Protein YIPF4,0.720067849
Q9NUQ7,Ufm1-specific protease 2,0.720058974
Q15459,Splicing factor 3A subunit 1,0.720027502
P18124,60S ribosomal protein L7,0.719741792
P45880,Voltage-dependent anion-selective channel protein 2,0.719407721
Q9Y512,Sorting and assembly machinery component 50 homolog,0.719062094
Q96EE3,Nucleoporin SEH1,0.71886569
P27694,Replication protein A 70 kDa DNA-binding subunit,0.718823235
P30626,Sorcin,0.718803999
Q8NEJ9,Neuroguidin,0.718578505
Q5VT52,Regulation of nuclear pre-mRNA domain-containing protein 2,0.718572741
Q15436,Protein transport protein Sec23A,0.718338946
Q9HBL7,Transmembrane protein C9orf46,0.718141453
O15533,Tapasin,0.717929236
Q13561,Dynactin subunit 2,0.717873568
P11908,Ribose-phosphate pyrophosphokinase 2,0.717866665
Q9NYL9,Tropomodulin-3,0.717348103
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",0.717308053
P53985,Monocarboxylate transporter 1,0.717242339
Q9Y4L1,Hypoxia up-regulated protein 1,0.71708014
Q9BUN8,Derlin-1,0.716986207
Q8IV08,Phospholipase D3,0.716786021
Q14697,Neutral alpha-glucosidase AB,0.716073889
Q8WUX1,Sodium-coupled neutral amino acid transporter 5,0.715934259
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,0.715934204
Q9NY35,Claudin domain-containing protein 1,0.715819236
P62906,60S ribosomal protein L10a,0.715705976
Q92890,Ubiquitin fusion degradation protein 1 homolog,0.715572379
O00151,PDZ and LIM domain protein 1,0.714921094
O75608,Acyl-protein thioesterase 1,0.714915528
P17980,26S protease regulatory subunit 6A,0.714889127
P07741,Adenine phosphoribosyltransferase,0.714754098
Q92979,Ribosomal RNA small subunit methyltransferase NEP1,0.714628696
Q9HCE1,Putative helicase MOV-10,0.714594243
O43399,Tumor protein D54,0.7144568
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate,0.71440432
Q15366,Poly(rC)-binding protein 2,0.714313387
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",0.714168686
Q9NR30,Nucleolar RNA helicase 2,0.714080548
Q15393,Splicing factor 3B subunit 3,0.713913552
P20810,Calpastatin,0.713885719
Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein,0.713774388
P45973,Chromobox protein homolog 5,0.713713157
P45974,Ubiquitin carboxyl-terminal hydrolase 5,0.713295666
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,0.712800245
Q9Y2Z0,Suppressor of G2 allele of SKP1 homolog,0.712750146
P28482,Mitogen-activated protein kinase 1,0.71271118
P09234,U1 small nuclear ribonucleoprotein C,0.712697429
Q9UBQ0,Vacuolar protein sorting-associated protein 29,0.712485826
P61011,Signal recognition particle 54 kDa protein,0.712466253
P07384,Calpain-1 catalytic subunit,0.71245512
Q92597,Protein NDRG1,0.712260005
P18621,60S ribosomal protein L17,0.712013824
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.711987531
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.711758663
Q9UBE0,SUMO-activating enzyme subunit 1,0.711630931
P62266,40S ribosomal protein S23,0.711536642
Q14157,Ubiquitin-associated protein 2-like,0.711497676
P37235,Hippocalcin-like protein 1,0.711230482
Q93009,Ubiquitin carboxyl-terminal hydrolase 7,0.711113585
Q96I24,Far upstream element-binding protein 3,0.711041255
P49773,Histidine triad nucleotide-binding protein 1,0.71089649
Q8IZ81,ELMO domain-containing protein 2,0.710786003
Q92616,Translational activator GCN1,0.710595895
Q03252,Lamin-B2,0.710171495
Q9Y295,Developmentally-regulated GTP-binding protein 1,0.710145872
P41567,Eukaryotic translation initiation factor 1,0.710138976
P30520,Adenylosuccinate synthetase isozyme 2,0.710083776
Q9UM00,Transmembrane and coiled-coil domain-containing protein 1,0.710062288
Q9Y3D9,"28S ribosomal protein S23, mitochondrial",0.709494884
Q9NY33,Dipeptidyl peptidase 3,0.709304462
Q06203,Amidophosphoribosyltransferase,0.709303822
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,0.709243729
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",0.709008133
Q99873,Protein arginine N-methyltransferase 1,0.70894648
O15067,Phosphoribosylformylglycinamidine synthase,0.708925022
Q9P287,BRCA2 and CDKN1A-interacting protein,0.708705462
P68366,Tubulin alpha-4A chain,0.708341225
Q13630,GDP-L-fucose synthase,0.708335153
Q15369,Transcription elongation factor B polypeptide 1,0.708227385
P52815,"39S ribosomal protein L12, mitochondrial",0.707751399
P16150,Leukosialin,0.707740266
P12235,ADP/ATP translocase 1,0.70762664
P05141,ADP/ATP translocase 2,0.707478638
Q9H3H5,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,0.707385878
Q13151,Heterogeneous nuclear ribonucleoprotein A0,0.707222578
P09382,Galectin-1,0.707155721
P36551,"Coproporphyrinogen-III oxidase, mitochondrial",0.706406421
Q9Y277,Voltage-dependent anion-selective channel protein 3,0.706073414
Q9Y375,"Complex I intermediate-associated protein 30, mitochondrial",0.705842077
P83731,60S ribosomal protein L24,0.705797545
Q9H3P2,Negative elongation factor A,0.705594047
P62081,40S ribosomal protein S7,0.705592233
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,0.705545354
P55786,Puromycin-sensitive aminopeptidase,0.705301146
Q07812,Apoptosis regulator BAX,0.705196359
P23921,Ribonucleoside-diphosphate reductase large subunit,0.705174093
Q8NCW5,Apolipoprotein A-I-binding protein,0.705172852
Q13895,Bystin,0.704968318
Q13162,Peroxiredoxin-4,0.704914976
P48444,Coatomer subunit delta,0.704758788
Q99426,Tubulin-folding cofactor B,0.704496019
P10620,Microsomal glutathione S-transferase 1,0.70410478
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.70402277
P18583,Protein SON,0.704016254
Q9BQ67,Glutamate-rich WD repeat-containing protein 1,0.704010688
P18085,ADP-ribosylation factor 4,0.703779171
O43390,Heterogeneous nuclear ribonucleoprotein R,0.703687829
P55060,Exportin-2,0.703687829
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.70363773
Q9NVA1,Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog,0.703501667
Q96QK1,Vacuolar protein sorting-associated protein 35,0.703008712
P27695,DNA-(apurinic or apyrimidinic site) lyase,0.702867563
Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating],0.702375161
P17844,Probable ATP-dependent RNA helicase DDX5,0.701945504
Q9Y4D1,Disheveled-associated activator of morphogenesis 1,0.70183857
O00232,26S proteasome non-ATPase regulatory subunit 12,0.701566979
Q9UIW2,Plexin-A1,0.701516881
Q9H307,Pinin,0.70140555
P17812,CTP synthase 1,0.70127752
P49915,GMP synthase [glutamine-hydrolyzing],0.701275439
Q99471,Prefoldin subunit 5,0.701096404
P62158,Calmodulin,0.701093501
Q92841,Probable ATP-dependent RNA helicase DDX17,0.700960056
O43747,AP-1 complex subunit gamma-1,0.70084333
Q8TEQ6,Gem-associated protein 5,0.700576136
Q9H0S4,Probable ATP-dependent RNA helicase DDX47,0.700531604
P30086,Phosphatidylethanolamine-binding protein 1,0.700442539
Q9NX62,Inositol monophosphatase 3,0.700320076
P55265,Double-stranded RNA-specific adenosine deaminase,0.700292243
Q9UQ35,Serine/arginine repetitive matrix protein 2,0.700253277
P04075,Fructose-bisphosphate aldolase A,0.700219878
P46778,60S ribosomal protein L21,0.700058301
P61165,UPF0197 transmembrane protein C11orf10,0.699869186
P14927,Cytochrome b-c1 complex subunit 7,0.69981131
Q9Y5K6,CD2-associated protein,0.699383328
Q00610,Clathrin heavy chain 1,0.699368198
P35241,Radixin,0.699183851
Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,0.698877494
Q9UNN5,FAS-associated factor 1,0.69875588
Q6P2Q9,Pre-mRNA-processing-splicing factor 8,0.69875588
Q96J01,THO complex subunit 3,0.698680412
Q8N1G4,Leucine-rich repeat-containing protein 47,0.698679735
P07954,"Fumarate hydratase, mitochondrial",0.698668654
P62753,40S ribosomal protein S6,0.698474448
Q15907,Ras-related protein Rab-11B,0.698459541
P0CW18,Putative serine protease 56,0.698423739
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,0.697609083
Q00341,Vigilin,0.697603607
Q9UG63,ATP-binding cassette sub-family F member 2,0.697158284
Q14344,Guanine nucleotide-binding protein subunit alpha-13,0.696793395
P14625,Endoplasmin,0.696671022
O60493,Sorting nexin-3,0.696618331
P61289,Proteasome activator complex subunit 3,0.696584931
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",0.696056111
O75844,CAAX prenyl protease 1 homolog,0.695974312
Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",0.695927848
Q16531,DNA damage-binding protein 1,0.695894681
Q8NHS3,Major facilitator superfamily domain-containing protein 8,0.695857143
Q14204,Cytoplasmic dynein 1 heavy chain 1,0.695712567
Q9Y6C9,Mitochondrial carrier homolog 2,0.695371427
P54136,"Arginyl-tRNA synthetase, cytoplasmic",0.69514265
Q15029,116 kDa U5 small nuclear ribonucleoprotein component,0.694998469
Q8WTT2,Nucleolar complex protein 3 homolog,0.69495711
P49327,Fatty acid synthase,0.694881572
Q14203,Dynactin subunit 1,0.694687349
Q9BY44,Eukaryotic translation initiation factor 2A,0.694514181
P62241,40S ribosomal protein S8,0.694318258
O95486,Protein transport protein Sec24A,0.69411339
O43809,Cleavage and polyadenylation specificity factor subunit 5,0.693998553
P39748,Flap endonuclease 1,0.693957077
Q13523,Serine/threonine-protein kinase PRP4 homolog,0.69386891
Q6P2E9,Enhancer of mRNA-decapping protein 4,0.693815239
P15924,Desmoplakin,0.693645406
Q14258,E3 ubiquitin/ISG15 ligase TRIM25,0.693534471
Q15056,Eukaryotic translation initiation factor 4H,0.693215693
Q9Y5U9,Immediate early response 3-interacting protein 1,0.69316708
Q9NQR4,Omega-amidase NIT2,0.693139247
P23193,Transcription elongation factor A protein 1,0.693094715
Q01844,RNA-binding protein EWS,0.693072448
Q9BZJ0,Crooked neck-like protein 1,0.692493352
Q9H3K6,BolA-like protein 2,0.692333187
Q5T4S7,E3 ubiquitin-protein ligase UBR4,0.691986974
Q9Y376,Calcium-binding protein 39,0.691913014
Q9GZZ1,"N-alpha-acetyltransferase 50, NatE catalytic subunit",0.691710268
Q86VU5,Catechol O-methyltransferase domain-containing protein 1,0.691431317
P24534,Elongation factor 1-beta,0.69131899
P21283,V-type proton ATPase subunit C 1,0.691296724
Q15046,Lysyl-tRNA synthetase,0.691253743
Q16543,Hsp90 co-chaperone Cdc37,0.69102953
Q9BSJ2,Gamma-tubulin complex component 2,0.691005238
P35613,Basigin,0.690869327
Q2TAY7,WD40 repeat-containing protein SMU1,0.690856968
P49736,DNA replication licensing factor MCM2,0.690520581
Q96JB5,CDK5 regulatory subunit-associated protein 3,0.690372679
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",0.690122185
Q8NI36,WD repeat-containing protein 36,0.689995532
P22102,Trifunctional purine biosynthetic protein adenosine-3,0.689816026
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial",0.689593365
P20700,Lamin-B1,0.689582232
Q96RP9,"Elongation factor G, mitochondrial",0.689559965
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,0.68943612
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",0.689431935
P11142,Heat shock cognate 71 kDa protein,0.689426211
P39019,40S ribosomal protein S19,0.689249899
Q13595,Transformer-2 protein homolog alpha,0.689129411
Q8WUM0,Nuclear pore complex protein Nup133,0.689109076
Q8NBS9,Thioredoxin domain-containing protein 5,0.68879735
Q04637,Eukaryotic translation initiation factor 4 gamma 1,0.688146066
Q14353,Guanidinoacetate N-methyltransferase,0.688041226
P31943,Heterogeneous nuclear ribonucleoprotein H,0.688034735
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2,0.687906705
P60602,Reactive oxygen species modulator 1,0.687884084
O75153,Protein KIAA0664,0.687684044
O00625,Pirin,0.687628378
Q92990,Glomulin,0.68731499
P82673,"28S ribosomal protein S35, mitochondrial",0.686974113
Q9Y266,Nuclear migration protein nudC,0.686850183
O60763,General vesicular transport factor p115,0.686744876
P26599,Polypyrimidine tract-binding protein 1,0.686740707
P52948,Nuclear pore complex protein Nup98-Nup96,0.686737733
Q9NTX5,Enoyl-CoA hydratase domain-containing protein 1,0.686495048
P30566,Adenylosuccinate lyase,0.685599218
P78527,DNA-dependent protein kinase catalytic subunit,0.685565928
P40926,"Malate dehydrogenase, mitochondrial",0.685478833
P12956,X-ray repair cross-complementing protein 6,0.685435164
P51572,B-cell receptor-associated protein 31,0.685162404
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",0.684888499
P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.684861811
Q99623,Prohibitin-2,0.684550085
Q13813,"Spectrin alpha chain, brain",0.684412974
P13010,X-ray repair cross-complementing protein 5,0.684382688
Q9UHQ9,NADH-cytochrome b5 reductase 1,0.68431006
Q9Y5B9,FACT complex subunit SPT16,0.683971165
Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,0.683798993
Q15365,Poly(rC)-binding protein 1,0.683464611
P61201,COP9 signalosome complex subunit 2,0.683457743
Q00839,Heterogeneous nuclear ribonucleoprotein U,0.683166801
decoy,Prostaglandin E2 receptor EP4 subtype,0.683013722
P17931,Galectin-3,0.682991455
Q9BUF5,Tubulin beta-6 chain,0.682795786
P62847,40S ribosomal protein S24,0.682720049
O94979,Protein transport protein Sec31A,0.6825016
P28074,Proteasome subunit beta type-5,0.682473768
P32942,Intercellular adhesion molecule 3,0.682384703
P61086,Ubiquitin-conjugating enzyme E2 K,0.682312338
Q96L92,Sorting nexin-27,0.682262488
Q9BUP3,Oxidoreductase HTATIP2,0.681987613
Q9NXF1,Testis-expressed sequence 10 protein,0.68191068
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,0.681677573
Q15061,WD repeat-containing protein 43,0.681498525
Q96EY7,"Pentatricopeptide repeat-containing protein 3, mitochondrial",0.681384671
Q9Y2R0,Coiled-coil domain-containing protein 56,0.681316342
Q9HB71,Calcyclin-binding protein,0.681197541
O94826,Mitochondrial import receptor subunit TOM70,0.681141887
P46777,60S ribosomal protein L5,0.680737009
Q9ULV4,Coronin-1C,0.680733907
P36578,60S ribosomal protein L4,0.680536536
Q58FF6,Putative heat shock protein HSP 90-beta 4,0.680230454
Q6P1M0,Long-chain fatty acid transport protein 4,0.680119124
O15372,Eukaryotic translation initiation factor 3 subunit H,0.680057892
Q12769,Nuclear pore complex protein Nup160,0.680034553
P09496,Clathrin light chain A,0.679695124
Q9UHX1,Poly(U)-binding-splicing factor PUF60,0.679350942
Q01130,Serine/arginine-rich splicing factor 2,0.679312303
Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1,0.679267444
P56192,"Methionyl-tRNA synthetase, cytoplasmic",0.679014254
P43243,Matrin-3,0.678827688
P15880,40S ribosomal protein S2,0.678822121
Q969H8,UPF0556 protein C19orf10,0.678787354
Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1,0.67858276
O00571,ATP-dependent RNA helicase DDX3X,0.678543795
P35520,Cystathionine beta-synthase,0.67845145
Q9NTJ3,Structural maintenance of chromosomes protein 4,0.67822216
P46108,Adapter molecule crk,0.678186209
P60866,40S ribosomal protein S20,0.67790921
Q9Y262,Eukaryotic translation initiation factor 3 subunit L,0.677886944
Q00796,Sorbitol dehydrogenase,0.677851598
P21333,Filamin-A,0.677728217
Q92522,Histone H1x,0.677718354
P40227,T-complex protein 1 subunit zeta,0.677692115
P54886,Delta-1-pyrroline-5-carboxylate synthase,0.677152161
Q9NY61,Protein AATF,0.676927055
P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",0.676862701
Q15717,ELAV-like protein 1,0.676829302
O60669,Monocarboxylate transporter 2,0.676748317
P35998,26S protease regulatory subunit 7,0.676603739
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",0.676578808
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,0.676528709
Q5VYK3,Proteasome-associated protein ECM29 homolog,0.676428512
P54578,Ubiquitin carboxyl-terminal hydrolase 14,0.676317181
P14314,Glucosidase 2 subunit beta,0.676194717
Q14684,Ribosomal RNA processing protein 1 homolog B,0.676105349
P06733,Alpha-enolase,0.675770868
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,0.675725745
O00231,26S proteasome non-ATPase regulatory subunit 11,0.675683775
Q9UQE7,Structural maintenance of chromosomes protein 3,0.6755323
P08237,"6-phosphofructokinase, muscle type",0.675471068
Q9Y224,UPF0568 protein C14orf166,0.675342718
P09960,Leukotriene A-4 hydrolase,0.675181608
Q9BQG0,Myb-binding protein 1A,0.67484205
P13798,Acylamino-acid-releasing enzyme,0.674669487
O15160,DNA-directed RNA polymerases I and III subunit RPAC1,0.674636937
Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A,0.67454269
O75369,Filamin-B,0.67453589
P60981,Destrin,0.674457629
Q9NX76,CKLF-like MARVEL transmembrane domain-containing protein 6,0.67439577
P52294,Importin subunit alpha-1,0.674202524
P50914,60S ribosomal protein L14,0.673994062
Q92499,ATP-dependent RNA helicase DDX1,0.673756658
P62979,Ubiquitin-40S ribosomal protein S27a,0.673593874
Q13045,Protein flightless-1 homolog,0.67341145
Q969P0,Immunoglobulin superfamily member 8,0.673168965
P61081,NEDD8-conjugating enzyme Ubc12,0.673099242
P22314,Ubiquitin-like modifier-activating enzyme 1,0.672945835
Q9NYF8,Bcl-2-associated transcription factor 1,0.672819821
Q13765,Nascent polypeptide-associated complex subunit alpha,0.672420607
P25398,40S ribosomal protein S12,0.672394686
O14653,Golgi SNAP receptor complex member 2,0.672389028
P06748,Nucleophosmin,0.672131148
P05387,60S acidic ribosomal protein P2,0.672053216
P54105,Methylosome subunit pICln,0.67200324
Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1,0.671914053
O15371,Eukaryotic translation initiation factor 3 subunit D,0.671708091
O00303,Eukaryotic translation initiation factor 3 subunit F,0.671645351
Q92973,Transportin-1,0.67164326
P10155,60 kDa SS-A/Ro ribonucleoprotein,0.671619026
Q13435,Splicing factor 3B subunit 2,0.671596659
Q9NPL8,Transmembrane protein C3orf1,0.671337602
Q99460,26S proteasome non-ATPase regulatory subunit 1,0.671193162
P51665,26S proteasome non-ATPase regulatory subunit 7,0.671006708
Q13838,Spliceosome RNA helicase DDX39B,0.671006708
P43686,26S protease regulatory subunit 6B,0.6708912
Q92896,Golgi apparatus protein 1,0.670871941
Q15126,Phosphomevalonate kinase,0.670834145
Q13573,SNW domain-containing protein 1,0.670583448
Q9NRF9,DNA polymerase epsilon subunit 3,0.670355114
O60841,Eukaryotic translation initiation factor 5B,0.670256403
O00299,Chloride intracellular channel protein 1,0.670251851
Q16555,Dihydropyrimidinase-related protein 2,0.670163148
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,0.669893401
O15439,Multidrug resistance-associated protein 4,0.669837736
P06493,Cyclin-dependent kinase 1,0.669790375
Q9NSD9,Phenylalanyl-tRNA synthetase beta chain,0.669598375
Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial",0.669426493
O43427,Acidic fibroblast growth factor intracellular-binding protein,0.669347881
Q14978,Nucleolar and coiled-body phosphoprotein 1,0.669281082
P10809,"60 kDa heat shock protein, mitochondrial",0.669175318
Q12767,Uncharacterized protein KIAA0195,0.6688361
O60701,UDP-glucose 6-dehydrogenase,0.668829426
Q8WU39,Plasma cell-induced resident endoplasmic reticulum protein,0.668768961
Q01082,"Spectrin beta chain, brain 1",0.668752261
Q9Y2Q3,Glutathione S-transferase kappa 1,0.668701729
Q96D46,60S ribosomal export protein NMD3,0.668535633
P62851,40S ribosomal protein S25,0.668061305
O95816,BAG family molecular chaperone regulator 2,0.668039745
P06737,"Glycogen phosphorylase, liver form",0.667661078
P46060,Ran GTPase-activating protein 1,0.667292044
P46940,Ras GTPase-activating-like protein IQGAP1,0.667089794
Q15233,Non-POU domain-containing octamer-binding protein,0.66705997
P04406,Glyceraldehyde-3-phosphate dehydrogenase,0.66705629
P30085,UMP-CMP kinase,0.666820674
Q6UXN9,WD repeat-containing protein 82,0.666787291
P09874,Poly [ADP-ribose] polymerase 1,0.666728334
O95757,Heat shock 70 kDa protein 4L,0.666644716
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",0.666282087
P32969,60S ribosomal protein L9,0.666130424
P12270,Nucleoprotein TPR,0.666096876
P30044,"Peroxiredoxin-5, mitochondrial",0.665902196
P48643,T-complex protein 1 subunit epsilon,0.665855192
O75531,Barrier-to-autointegration factor,0.665790865
P27797,Calreticulin,0.6657519
P32119,Peroxiredoxin-2,0.665651365
P60842,Eukaryotic initiation factor 4A-I,0.665592654
Q15418,Ribosomal protein S6 kinase alpha-1,0.665440174
P27635,60S ribosomal protein L10,0.665424179
P14618,Pyruvate kinase isozymes M1/M2,0.665250912
P62995,Transformer-2 protein homolog beta,0.665234212
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",0.665193551
Q8TDN6,Ribosome biogenesis protein BRX1 homolog,0.665140101
P33992,DNA replication licensing factor MCM5,0.665106182
Q14980,Nuclear mitotic apparatus protein 1,0.665040562
O76003,Glutaredoxin-3,0.664955885
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,0.664894653
Q13206,Probable ATP-dependent RNA helicase DDX10,0.664734
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,0.664716524
O95347,Structural maintenance of chromosomes protein 2,0.664716524
Q15691,Microtubule-associated protein RP/EB family member 1,0.66464679
O14776,Transcription elongation regulator 1,0.664633026
Q01518,Adenylyl cyclase-associated protein 1,0.664531228
O14979,Heterogeneous nuclear ribonucleoprotein D-like,0.664496622
P62312,U6 snRNA-associated Sm-like protein LSm6,0.664438197
Q15637,Splicing factor 1,0.664128147
Q13242,Serine/arginine-rich splicing factor 9,0.663975132
P27816,Microtubule-associated protein 4,0.663951248
P23246,"Splicing factor, proline- and glutamine-rich",0.663864695
P63104,14-3-3 protein zeta/delta,0.663838434
O14734,Acyl-coenzyme A thioesterase 8,0.66379248
P25205,DNA replication licensing factor MCM3,0.663473633
P00441,Superoxide dismutase [Cu-Zn],0.663402822
P11940,Polyadenylate-binding protein 1,0.663285925
P63244,Guanine nucleotide-binding protein subunit beta-2-like 1,0.663234348
Q13190,Syntaxin-5,0.663129041
Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",0.663018156
Q9P2J5,"Leucyl-tRNA synthetase, cytoplasmic",0.662868435
Q9UGI8,Testin,0.662723705
P60228,Eukaryotic translation initiation factor 3 subunit E,0.662667826
P31949,Protein S100-A11,0.662623507
P07195,L-lactate dehydrogenase B chain,0.662240539
Q13263,Transcription intermediary factor 1-beta,0.662235993
O75223,Gamma-glutamylcyclotransferase,0.662011189
Q9Y624,Junctional adhesion molecule A,0.661848393
P23526,Adenosylhomocysteinase,0.661813389
P62258,14-3-3 protein epsilon,0.661375232
Q99832,T-complex protein 1 subunit eta,0.661204041
P25789,Proteasome subunit alpha type-4,0.661170642
P62244,40S ribosomal protein S15a,0.661132847
Q06323,Proteasome activator complex subunit 1,0.661014779
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,0.66093368
P48147,Prolyl endopeptidase,0.660885355
P21291,Cysteine and glycine-rich protein 1,0.660879239
Q9UNE7,E3 ubiquitin-protein ligase CHIP,0.66083665
P84098,60S ribosomal protein L19,0.660810306
Q92878,DNA repair protein RAD50,0.660665694
P22234,Multifunctional protein ADE2,0.660457091
O14744,Protein arginine N-methyltransferase 5,0.660254445
P53004,Biliverdin reductase A,0.660160949
Q8N183,"Mimitin, mitochondrial",0.659731331
Q9UK22,F-box only protein 2,0.659679574
Q15257,Serine/threonine-protein phosphatase 2A activator,0.65962113
P08758,Annexin A5,0.659618132
Q13185,Chromobox protein homolog 3,0.659428317
P50395,Rab GDP dissociation inhibitor beta,0.659358598
Q08945,FACT complex subunit SSRP1,0.659245952
O76021,Ribosomal L1 domain-containing protein 1,0.659172256
Q9UKD2,mRNA turnover protein 4 homolog,0.658981952
P55327,Tumor protein D52,0.658910629
O43615,Mitochondrial import inner membrane translocase subunit TIM44,0.658905063
P62805,Histone H4,0.658425405
P11766,Alcohol dehydrogenase class-3,0.658398508
Q13409,Cytoplasmic dynein 1 intermediate chain 2,0.658381809
Q8N8Q8,Mitochondrial inner membrane protein COX18,0.658253778
P49368,T-complex protein 1 subunit gamma,0.658100279
P62913,60S ribosomal protein L11,0.65784126
P08865,40S ribosomal protein SA,0.657807298
P26368,Splicing factor U2AF 65 kDa subunit,0.657550052
Q12874,Splicing factor 3A subunit 3,0.657324167
