Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM? 
Q9NVE7,Pantothenate kinase 4,,0.965237987,,,,,,
Q8N8S7,Protein enabled homolog,,1.01167275,,,,,,
P30041,Peroxiredoxin-6,,0.92533216,0.624386846,,,,,
P30040,Endoplasmic reticulum resident protein 29,0.828468103,0.977888407,0.727283036,,1,,,
P30043,Flavin reductase,,0.916955522,0.590152801,,,,,
P30042,"ES1 protein homolog, mitochondrial",,1.192572343,,1,,,,
P30044,"Peroxiredoxin-5, mitochondrial",,1.023929035,0.665902196,1,,,,
O95159,Zinc finger protein-like 1,0.900077463,,,,,,,
Q12931,"Heat shock protein 75 kDa, mitochondrial",0.883453727,0.866529009,0.598024956,1,,,,
Q9Y678,Coatomer subunit gamma,1.048715928,1.052290209,0.783673356,,,,,
Q9NQS3,Poliovirus receptor-related protein 3,2.510811366,,,,1,,,
P55786,Puromycin-sensitive aminopeptidase,1.29124937,0.947411012,0.705301146,,,,,
Q9BV20,Methylthioribose-1-phosphate isomerase,,1.123426541,0.753113481,,,,,
P37837,Transaldolase,,0.890802299,0.578593582,,,,,
Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,0.767286094,0.831776973,0.608989952,,,1,,
Q9NP72,Ras-related protein Rab-18,1.049217227,1.119610003,0.827404047,,,,,
Q9UBB4,Ataxin-10,0.945097712,0.880149877,0.783962816,,,,,
Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,1.068728331,1.029342648,1.197125206,,,,,
P13667,Protein disulfide-isomerase A4,1.008251362,1.038004779,0.657218403,,1,,,
Q9UBB9,Tuftelin-interacting protein 11,,1.043207903,,,,,,
Q9Y696,Chloride intracellular channel protein 4,,1.101089092,0.607368594,1,,,,
P51116,Fragile X mental retardation syndrome-related protein 2,,0.956702677,,,,,,
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,1.026311615,1.047084498,0.775702079,,,,,
P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.94186714,0.851749661,0.684861811,,,,,
Q86UX7,Fermitin family homolog 3,,1.136441439,,,,,,
Q6GTX8,Leukocyte-associated immunoglobulin-like receptor 1,1.249831414,,,,1,,,
Q9UIG0,Tyrosine-protein kinase BAZ1B,,1.126893598,,,,,,
P62875,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",,1.079528267,1.27067265,,,,,
Q15007,Pre-mRNA-splicing regulator WTAP,,1.23578634,,,,,,
Q15006,Tetratricopeptide repeat protein 35,0.714660677,,0.791210443,,,,,
Q15005,Signal peptidase complex subunit 2,1.086936166,1.174298855,1.188684845,,,,,1
O00567,Nucleolar protein 56,,1.011552525,0.732310947,,,,,
O00560,Syntenin-1,0.960199684,1.088849841,1.142337623,,,,,
Q9C0C2,182 kDa tankyrase-1-binding protein,,1.069363825,,,,,,
Q13057,Bifunctional coenzyme A synthase,,0.956470831,0.589479347,,,,,
P18887,DNA repair protein XRCC1,,0.994998116,,,,,,
Q9C0C9,Ubiquitin-conjugating enzyme E2 O,,1.832098824,,,,,,
Q15008,26S proteasome non-ATPase regulatory subunit 6,,0.900052053,0.603352252,,,,,
O00764,Pyridoxal kinase,,0.976393932,0.581702803,,,,,
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,1.000318441,1.168511627,1.167189869,,1,,,
O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1.429370241,1.583319389,1.716508615,,,1,,
O15397,Importin-8,,1.090204325,,,,,,
Q15642,Cdc42-interacting protein 4,,0.982652962,,,,,,
Q12849,G-rich sequence factor 1,,1.063181452,0.629904132,,,,,
Q12846,Syntaxin-4,0.978104779,,0.765576349,,,,,
Q9BTW9,Tubulin-specific chaperone D,,1.160887468,,,,,,
P78330,Phosphoserine phosphatase,,0.902510161,,,,,,
Q9H7F0,Probable cation-transporting ATPase 13A3,1.322134159,1.264195944,1.109427428,,,,,1
Q14527,Helicase-like transcription factor,,0.986120339,,,,,,
P18085,ADP-ribosylation factor 4,0.941581165,0.897510667,0.703779171,,,,,
P18084,Integrin beta-5,2.637047326,,2.848323631,,1,,,
Q08209,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,0.864484396,,,,,,,
O75533,Splicing factor 3B subunit 1,0.990669083,1.019505829,0.795311024,,,,,
O75531,Barrier-to-autointegration factor,,0.9043412,0.665790865,,,,,
O75530,Polycomb protein EED,,1.099157435,,,,,,
O75821,Eukaryotic translation initiation factor 3 subunit G,0.936729149,1.140510695,0.818800909,,,,,
O75822,Eukaryotic translation initiation factor 3 subunit J,1.097049254,0.976471988,0.632914916,,,,,
P04229,"HLA class II histocompatibility antigen, DRB1-1 beta chain",1.88119123,,,,1,,,
Q5VV41,Rho guanine nucleotide exchange factor 16,,0.903766525,,,,,,
P35520,Cystathionine beta-synthase,,0.875065552,0.67845145,,,,,
P27635,60S ribosomal protein L10,,0.999995417,0.665424179,,,,,
Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",,1.146689949,0.695927848,,,,,
O00571,ATP-dependent RNA helicase DDX3X,1.091617405,0.957384784,0.678543795,,,,,
Q9Y450,HBS1-like protein,,0.90765936,0.778395415,,,,,
Q8NBF2,NHL repeat-containing protein 2,,0.803110094,,,,,,
Q9Y320,Thioredoxin-related transmembrane protein 2,0.768345298,,,,1,,,
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",,,0.571154598,1,,,,
Q92930,Ras-related protein Rab-8B,1.169228349,,,,,,,
Q9BY50,Signal peptidase complex catalytic subunit SEC11C,1.535742497,1.409860731,1.720168783,,,1,,
Q13158,Protein FADD,,1.071519839,,,,,,
O75223,Gamma-glutamylcyclotransferase,,0.849078564,0.662011189,,,,,
Q9Y2T3,Guanine deaminase,,1.045659419,,,,,,
Q8NFH4,Nucleoporin Nup37,,1.025046445,,,,,,
Q13151,Heterogeneous nuclear ribonucleoprotein A0,,1.091690421,0.707222578,,,,,
Q9Y5K6,CD2-associated protein,,1.13067618,0.699383328,,,,,
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,,0.988420963,0.627404047,,,,,
P52799,Ephrin-B2,2.301336439,,,,1,,,
P15559,NAD(P)H dehydrogenase [quinone] 1,,1.02656851,0.513353178,,,,,
Q9NTM9,Copper homeostasis protein cutC homolog,,0.883876939,,,,,,
P46092,C-C chemokine receptor type 10,1.242370092,1.373356288,1.270336193,,,,,1
Q14203,Dynactin subunit 1,,0.998134364,0.694687349,,,,,
Q9HC38,Glyoxalase domain-containing protein 4,,1.118746484,0.604659189,1,,,,
Q14204,Cytoplasmic dynein 1 heavy chain 1,0.983976398,0.99551901,0.695712567,,,,,
O60684,Importin subunit alpha-7,,1.303864975,,,,,,
P62899,60S ribosomal protein L31,0.900413522,0.895745072,0.656788041,,,,,
P00338,L-lactate dehydrogenase A chain,1.10807581,0.935604711,0.628005233,,,,,
Q96BD0,Solute carrier organic anion transporter family member 4A1,1.369157646,,,,,,,1
Q15813,Tubulin-specific chaperone E,,1.068158075,,,,,,
P06213,Insulin receptor,1.02827961,,0.771594931,,1,,,
Q92841,Probable ATP-dependent RNA helicase DDX17,0.95483932,0.920068407,0.700960056,,,,,
Q8TB96,T-cell immunomodulatory protein,1.769373073,,,,1,,,
P68036,Ubiquitin-conjugating enzyme E2 L3,,1.037517078,0.730352233,,,,,
Q14534,Squalene monooxygenase,0.611334793,,0.581009489,,,,,1
P07814,Bifunctional aminoacyl-tRNA synthetase,0.851311361,1.019345622,0.647199273,,,,,
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",,1.072115368,0.775780011,1,,,,
O43169,Cytochrome b5 type B,0.968260846,1.093651852,0.769896879,1,,,,
P22102,Trifunctional purine biosynthetic protein adenosine-3,0.687338054,0.982310209,0.689816026,,,,,
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,0.960729925,1.032277787,0.709243729,,,,,
Q5VW38,Protein GPR107,,,2.887883886,,1,,,1
Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1,1.070988846,,,,,,,
Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1,,0.951852102,0.652593612,,,,,
P23458,Tyrosine-protein kinase JAK1,1.319487057,1.275862314,1.204943324,,,,,
P04040,Catalase,,1.098839271,,,,,,
P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",0.824588788,0.811070536,0.638943472,1,,,,
Q9H3Z4,DnaJ homolog subfamily C member 5,1.245061291,,,,,,,
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",,1.017749453,,1,,,,
Q13085,Acetyl-CoA carboxylase 1,,1.017123669,0.625789671,,,,,
P26583,High mobility group protein B2,0.992954904,,,,,,,
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,,0.891167168,0.596614622,,,,,
Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,0.906618632,1.021036743,0.79033093,1,,,,1
Q9H910,Hematological and neurological expressed 1-like protein,,0.805741083,0.41834006,,,,,
O43760,Synaptogyrin-2,1.03343524,1.099154072,1.050466659,,,,,1
P41440,Folate transporter 1,0.850738383,,0.548606975,,,,,1
Q02750,Dual specificity mitogen-activated protein kinase kinase 1,,0.801343129,,,,,,
Q8IWX8,Calcium homeostasis endoplasmic reticulum protein,,1.014400827,,,,,,
Q14739,Lamin-B receptor,0.881029543,1.001636172,0.82154476,,,,,1
Q86X29,Lipolysis-stimulated lipoprotein receptor,1.535931911,,1.410744719,,,,,
P60981,Destrin,,1.076932546,0.674457629,,,,,
Q6FI81,Anamorsin,,0.735436202,,,,,,
Q5JS54,Proteasome assembly chaperone 4,,1.126838832,,,,,,
Q9UNQ2,Probable dimethyladenosine transferase,,1.213991534,0.750562826,,,,,
Q9UNQ0,ATP-binding cassette sub-family G member 2,,0.862858346,0.638629005,,,,,1
P60660,Myosin light polypeptide 6,0.942470046,0.89693997,0.639884216,,,,,
P46940,Ras GTPase-activating-like protein IQGAP1,1.005991593,0.981322915,0.667089794,,,,,
Q99747,Gamma-soluble NSF attachment protein,1.165753155,1.095738805,1.069694098,,,,,
Q15418,Ribosomal protein S6 kinase alpha-1,,0.895629149,0.665440174,,,,,
Q5SGD2,Protein phosphatase 1L,1.170922909,1.301018756,1.255062227,,,,,
O43491,Band 4.1-like protein 2,1.130800556,1.204755227,1.197161502,,,,,
Q9H4I3,TraB domain-containing protein,0.71649128,,,,,,,
P27361,Mitogen-activated protein kinase 3,,1.094012719,,,,,,
Q8IWT6,Leucine-rich repeat-containing protein 8A,1.013814036,,1.28933961,,,,,1
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,,1.250210512,,,,,,
P60468,Protein transport protein Sec61 subunit beta,0.441106194,,,,,,,
O60266,Adenylate cyclase type 3,1.235789822,,1.222940264,,,,,1
Q9Y6Y8,SEC23-interacting protein,,1.057448584,,,,,,
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",1.011251206,1.059062587,0.755122603,,,,,
P61353,60S ribosomal protein L27,0.855161218,0.88842016,0.602126416,,,,,
P26010,Integrin beta-7,1.045924736,1.710647306,1.046223179,,1,,,
Q9HDC9,Adipocyte plasma membrane-associated protein,0.911974879,1.094852145,1.13874105,,,1,,
O14828,Secretory carrier-associated membrane protein 3,1.11218606,1.126609962,1.177339101,,,,,1
P38919,Eukaryotic initiation factor 4A-III,1.019947051,0.93042385,0.629252136,,,,,
Q86Y56,HEAT repeat-containing protein 2,1.096123521,1.001566521,0.647766428,,,,,
Q15843,NEDD8,,0.930709584,0.605488603,,,,,
Q15019,Septin-2,0.982460109,0.979807,0.584975925,,,,,
Q15645,Pachytene checkpoint protein 2 homolog,0.817682342,1.071314745,0.737411857,,,,,
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.77864106,0.928720675,0.70363773,1,,,,
Q9NX62,Inositol monophosphatase 3,0.966191691,0.934882423,0.700320076,,,,,
Q9NX63,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",0.915685944,1.195800603,0.759354282,1,,,,
P62318,Small nuclear ribonucleoprotein Sm D3,0.777993044,,,,,,,
Q13428,Treacle protein,,1.27396601,,,,,,
P62316,Small nuclear ribonucleoprotein Sm D2,0.943921368,0.968633817,0.617829608,,,,,
Q13425,Beta-2-syntrophin,1.122267665,,1.070268334,,,,,
Q13423,"NAD(P) transhydrogenase, mitochondrial",0.907908423,1.082962994,0.792529711,1,,,,1
O95487,Protein transport protein Sec24B,1.094691319,0.963506459,1.084729162,,,,,
O95486,Protein transport protein Sec24A,0.924239351,1.0432341,0.69411339,,,,,
P61758,Prefoldin subunit 3,,1.003045081,0.634718233,,,,,
O60313,"Dynamin-like 120 kDa protein, mitochondrial",0.923485178,0.950464274,0.735355841,1,,,,
P63261,"Actin, cytoplasmic 2",1.370728122,1.012532923,1.14446319,,,,,
Q53HC9,Protein TSSC1,,0.396605618,,,,,,
Q9HD45,Transmembrane 9 superfamily member 3,1.094537235,1.249015615,1.226213075,,1,,,1
Q14849,StAR-related lipid transfer protein 3,1.227203786,,,,,,,1
Q8NI27,THO complex subunit 2,,1.057618009,0.736329481,,,,,
P30101,Protein disulfide-isomerase A3,0.884361497,0.902367358,0.733236122,,1,,,
Q9NZD8,Maspardin,1.870843619,,1.315640808,,,,,
Q13523,Serine/threonine-protein kinase PRP4 homolog,,0.965289888,0.69386891,,,,,
O14737,Programmed cell death protein 5,,0.972569288,0.613779432,,,,,
Q9BUN8,Derlin-1,0.810765318,1.034451266,0.716986207,,,,,1
Q13547,Histone deacetylase 1,,0.891528154,,,,,,
Q9UBS4,DnaJ homolog subfamily B member 11,1.300772509,1.265640397,1.232929623,,1,,,
Q9UHB6,LIM domain and actin-binding protein 1,,0.976712791,1.101515162,,,,,
P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",0.913269135,0.992026032,0.776538591,1,,,,
P48739,Phosphatidylinositol transfer protein beta isoform,,0.944272177,0.582756693,,,,,
Q6DKJ4,Nucleoredoxin,,1.162742235,,,,,,
P63313,Thymosin beta-10,,1.076053031,0.644916363,,,,,
P61586,Transforming protein RhoA,,,0.790612961,,,,,
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3,,1.172945056,,,,,,
Q9NR45,Sialic acid synthase,,0.97758539,0.631453552,,,,,
P10768,S-formylglutathione hydrolase,,1.354351094,,,,,,
Q7L2E3,Putative ATP-dependent RNA helicase DHX30,,1.073394171,,1,,,,
P84098,60S ribosomal protein L19,0.933826795,1.022154523,0.660810306,,,,,
O00159,Myosin-Ic,0.937369512,1.073294351,0.810922164,,,,,
P48651,Phosphatidylserine synthase 1,,,1.09517939,,,,,1
Q9P2N5,RNA-binding protein 27,,1.252595715,,,,,,
Q9NUJ1,"Abhydrolase domain-containing protein 10, mitochondrial",,1.23479199,,1,,,,
P84090,Enhancer of rudimentary homolog,,0.908747766,0.619722953,,,,,
P61225,Ras-related protein Rap-2b,0.96859661,1.083727411,1.09234456,,,,,
P84095,Rho-related GTP-binding protein RhoG,1.086768213,1.165128201,1.101191706,,,,,
P61221,ATP-binding cassette sub-family E member 1,0.956557749,1.01938618,0.778763673,1,,,,
Q7L1V2,Vacuolar fusion protein MON1 homolog B,,,1.232900793,,,,,
Q9ULA0,Aspartyl aminopeptidase,,0.831153798,,,,,,
P34910,Protein EVI2B,1.129562074,,1.29696913,,1,,,
Q96KP4,Cytosolic non-specific dipeptidase,,1.283747895,0.625016004,,,,,
Q8TDN6,Ribosome biogenesis protein BRX1 homolog,,0.946965154,0.665140101,,,,,
Q13630,GDP-L-fucose synthase,,0.972334467,0.708335153,,,,,
Q8TDN4,CDK5 and ABL1 enzyme substrate 1,,,0.557554635,,,,,
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,,0.970176483,0.648113138,,,,,
P55060,Exportin-2,1.001192469,0.983763731,0.703687829,,,,,
P11021,78 kDa glucose-regulated protein,0.946561889,0.999571682,0.655208884,,1,,,
P13987,CD59 glycoprotein,1.206379489,1.156953622,1.082658673,,1,,,
P13984,General transcription factor IIF subunit 2,,1.029129147,,,,,,
P12109,Collagen alpha-1(VI) chain,1.457731732,,1.671449057,,1,,,
O00487,26S proteasome non-ATPase regulatory subunit 14,,1.02681653,0.801210642,,,,,
O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,1.019346311,,0.827109021,1,,,,
Q9BVT8,Transmembrane and ubiquitin-like domain-containing protein 1,1.041406762,,,,,,,1
P51948,CDK-activating kinase assembly factor MAT1,,1.011034633,,,,,,
P05141,ADP/ATP translocase 2,0.940670681,1.030946988,0.707478638,1,,,,1
Q9UQ80,Proliferation-associated protein 2G4,0.922794973,0.923423891,0.632636589,,,,,
O75352,Mannose-P-dolichol utilization defect 1 protein,,,0.808190777,,,,,1
P55209,Nucleosome assembly protein 1-like 1,1.063263075,1.015443884,0.738638441,,,,,
P37802,Transgelin-2,1.204437222,0.964852948,0.604580556,,,,,
Q8NBW4,Putative sodium-coupled neutral amino acid transporter 9,0.884042995,,0.778596677,,,,,1
P47712,Cytosolic phospholipase A2,0.913957347,1.062133952,0.789223382,,,,,
O14548,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",1.198840005,,0.797986367,1,,,,
Q9BV38,WD repeat-containing protein 18,,0.961624428,0.747407387,,,,,
Q7Z4S6,Kinesin-like protein KIF21A,,0.786537315,,,,,,
P52948,Nuclear pore complex protein Nup98-Nup96,,0.962694999,0.686737733,,,,,
Q9BRT2,Uncharacterized protein C6orf125,0.917573839,,0.737450556,1,,,,
Q8WWM7,Ataxin-2-like protein,,0.936523177,0.617188706,,,,,
Q9Y666,Solute carrier family 12 member 7,1.138066845,,,,,,,1
Q86XI2,Condensin-2 complex subunit G2,,1.070252431,,,,,,
Q9UBE0,SUMO-activating enzyme subunit 1,,1.003528071,0.711630931,,,,,
Q96GQ7,Probable ATP-dependent RNA helicase DDX27,,0.967866943,0.637545506,,,,,
P13674,Prolyl 4-hydroxylase subunit alpha-1,,0.982339469,,,1,,,
P03905,NADH-ubiquinone oxidoreductase chain 4,,0.931612847,0.812598546,1,,,,1
P52306,Rap1 GTPase-GDP dissociation stimulator 1,,0.999647648,0.745005841,,,,,
Q9NVX2,Notchless protein homolog 1,,0.82862003,0.730347725,,,,,
Q15070,Mitochondrial inner membrane protein OXA1L,0.948959673,,0.721433939,1,,,,1
P14866,Heterogeneous nuclear ribonucleoprotein L,0.876907352,1.049565827,0.752831433,,,,,
Q8N2K0,Monoacylglycerol lipase ABHD12,2.303137605,,2.033253001,,,,,
Q9C0B5,Probable palmitoyltransferase ZDHHC5,0.985030345,,0.733430232,,,,,1
Q9UKD2,mRNA turnover protein 4 homolog,,0.892196048,0.658981952,,,,,
P14868,"Aspartyl-tRNA synthetase, cytoplasmic",,0.919026456,0.638890581,,,,,
Q6RW13,Type-1 angiotensin II receptor-associated protein,,,1.602967995,,,,,1
Q9BU23,Lipase maturation factor 2,1.13982231,,1.702484615,,,,,1
Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31,,1.037411758,,,,,,
Q8TAD4,Zinc transporter 5,0.647183135,,0.804851377,,,,,1
Q9UM00,Transmembrane and coiled-coil domain-containing protein 1,0.814579526,,0.710062288,,,,,1
Q8TAD7,Overexpressed in colon carcinoma 1 protein,0.82892942,,1.159111049,,,,,
O95232,Luc7-like protein 3,,1.011304968,0.623657506,,,,,
O60462,Neuropilin-2,0.761153079,,0.591403002,,1,,,
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",1.091561421,1.546268651,1.084055173,1,,,,
Q9BXP2,Solute carrier family 12 member 9,1.195649041,,1.132726326,,,,,1
Q6IA86,Elongator complex protein 2,,0.947304006,,,,,,
O15126,Secretory carrier-associated membrane protein 1,1.251512808,1.165427864,1.307632159,,,,,1
O15127,Secretory carrier-associated membrane protein 2,1.011940367,,,,,,,1
Q9BTX1,Nucleoporin NDC1,,,1.895198362,,,,,1
O75818,Ribonuclease P protein subunit p40,,1.336510572,,,,,,
Q8N9N7,Leucine-rich repeat-containing protein 57,,,1.145863812,,,,,
P29597,Non-receptor tyrosine-protein kinase TYK2,,,1.67318048,,,,,
Q9Y4P1,Cysteine protease ATG4B,,1.040942948,1.189251115,,,,,
Q8NFY4,Semaphorin-6D,0.582242367,,0.593951307,,1,,,
P04233,HLA class II histocompatibility antigen gamma chain,3.652203408,2.750636119,2.819642548,,,1,,
Q68E01,Integrator complex subunit 3,,0.901880068,,,,,,
Q15102,Platelet-activating factor acetylhydrolase IB subunit gamma,,0.947856869,,,,,,
Q8WVC6,Dephospho-CoA kinase domain-containing protein,,,1.204674464,,,,,
Q92614,Myosin-XVIIIa,,0.885045617,,,,,,
P24539,"ATP synthase subunit b, mitochondrial",0.935499583,1.186176492,0.798755674,1,,,,
Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2,,1.025195269,0.767308316,,,,,
Q9Y333,U6 snRNA-associated Sm-like protein LSm2,,1.050405353,,,,,,
Q9H2U1,Probable ATP-dependent RNA helicase DHX36,,1.185953564,,,,,,
O95831,"Apoptosis-inducing factor 1, mitochondrial",0.885463607,1.18146824,1.06870994,1,,,,
Q92922,SWI/SNF complex subunit SMARCC1,,1.381916747,1.210532556,,,,,
P24534,Elongation factor 1-beta,,0.938915212,0.69131899,,,,,
O43847,Nardilysin,,1.023888481,1.113595199,,1,,,
Q9Y446,Plakophilin-3,,0.722320865,,,,,,
P54819,"Adenylate kinase 2, mitochondrial",,1.099840692,1.145348441,1,,,,
Q8TF05,Serine/threonine-protein phosphatase 4 regulatory subunit 1,,0.755398123,,,,,,
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0.837138461,1.490871025,0.777138245,1,,,,
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,,0.860156746,0.733399403,,,,,
Q8WVM8,Sec1 family domain-containing protein 1,1.051345421,1.107270186,0.791956021,,,,,
O75494,Serine/arginine-rich splicing factor 10,,0.958367607,0.624713881,,,,,
P36551,"Coproporphyrinogen-III oxidase, mitochondrial",,,0.706406421,1,,,,
P35221,Catenin alpha-1,,1.127787025,0.788353012,,,,,
P08133,Annexin A6,0.95844654,0.974679642,0.755334131,,,,,
Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial",,0.927704121,,1,,,,
O60678,Protein arginine N-methyltransferase 3,,0.993798001,,,,,,
P54727,UV excision repair protein RAD23 homolog B,,0.970194454,0.634560641,,,,,
Q9Y3A6,Transmembrane emp24 domain-containing protein 5,1.30159169,1.175385639,1.471697956,,1,,,
Q9Y3A5,Ribosome maturation protein SBDS,,0.896975638,0.639524767,,,,,
Q9Y3A4,Ribosomal RNA-processing protein 7 homolog A,,1.070961928,,,,,,
P23193,Transcription elongation factor A protein 1,,1.018697106,0.693094715,,,,,
Q9UKR5,Probable ergosterol biosynthetic protein 28,,,0.608844674,,,,,1
Q9H3K6,BolA-like protein 2,,1.061996328,0.692333187,,,,,
P98179,Putative RNA-binding protein 3,,0.920949829,0.629547162,,,,,
Q7L5N1,COP9 signalosome complex subunit 6,,0.969463112,,,,,,
P15121,Aldose reductase,,0.946795729,0.608864298,,,,,
P42892,Endothelin-converting enzyme 1,2.063803973,1.207247706,1.38790755,,,1,,
O43156,TEL2-interacting protein 1 homolog,,1.21116159,0.720503151,,,,,
Q14435,Polypeptide N-acetylgalactosaminyltransferase 3,1.349091209,,1.500629454,,,1,,
P98175,RNA-binding protein 10,,1.044279409,,,,,,
P05556,Integrin beta-1,1.577895864,,1.315458751,,1,,,
Q04760,Lactoylglutathione lyase,,0.904137255,0.603019324,,,,,
Q8IYB8,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",,0.751175301,,1,,,,
Q8NEW0,Zinc transporter 7,0.902516111,,0.720969394,,,,,1
Q5SSJ5,Heterochromatin protein 1-binding protein 3,,,0.579803753,,,,,
P46379,Large proline-rich protein BAG6,,0.987743259,0.657275421,,,,,
Q01082,"Spectrin beta chain, brain 1",0.935921784,0.954188042,0.668752261,,,,,
Q01081,Splicing factor U2AF 35 kDa subunit,,0.893581456,1.046470708,,,,,
P26373,60S ribosomal protein L13,0.911747276,0.94526198,0.623663336,,,,,
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",1.054219346,0.956408411,0.676578808,1,,,,
O43719,HIV Tat-specific factor 1,,1.001848212,,,,,,
P26572,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1.5317073,,1.486106046,,,1,,
O60784,Target of Myb protein 1,1.645396881,1.132326193,2.432141761,,,,,
Q9GZU7,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,,,0.555595633,,,,,
Q96DH6,RNA-binding protein Musashi homolog 2,,0.975132144,0.580157775,,,,,
Q9GZU1,"Mucolipin-1, TRPML1 TRP channel, cause of severe developmental disorder ",2.723140115,,,,,,,1
P59998,Actin-related protein 2/3 complex subunit 4,1.019665584,0.968482977,0.725247015,,,,,
Q14728,Major facilitator superfamily domain-containing protein 10,,,0.733511221,,,,,1
Q16401,26S proteasome non-ATPase regulatory subunit 5,,0.885946021,0.631672332,,,,,
Q99598,Translin-associated protein X,,0.855914849,0.613905711,,,,,
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",1.05020474,1.112203758,0.811725069,1,,,,
Q99595,Mitochondrial import inner membrane translocase subunit Tim17-A,1.457879847,,0.628237589,1,,,,1
Q9Y5W9,Sorting nexin-11,1.117165315,,,,,,,
Q9NYM9,BET1-like protein,,,1.146706262,,,,,
Q14181,DNA polymerase alpha subunit B,,0.916067246,,,,,,
Q13185,Chromobox protein homolog 3,,0.901806111,0.659428317,,,,,
P49257,Protein ERGIC-53,1.423458806,1.333443146,1.273563233,,1,,,
P22001,Potassium voltage-gated channel subfamily A member 3,1.259741528,,1.338557648,,,,,1
O94874,E3 UFM1-protein ligase 1,1.078380661,1.098529872,0.575935874,,,,,
P82673,"28S ribosomal protein S35, mitochondrial",,1.013076869,0.686974113,1,,,,
Q9ULC5,Long-chain-fatty-acid--CoA ligase 5,0.961985147,,0.786317459,1,,,1,
Q8WU39,Plasma cell-induced resident endoplasmic reticulum protein,0.827971832,1.139251805,0.668768961,,1,,,
P82675,"28S ribosomal protein S5, mitochondrial",,1.019545659,,1,,,,
P21291,Cysteine and glycine-rich protein 1,,1.097231231,0.660879239,,,,,
P18433,Receptor-type tyrosine-protein phosphatase alpha,1.035412915,,1.096785728,,1,,,
Q9BYX2,TBC1 domain family member 2A,,1.102578256,,,,,,
O43447,Peptidyl-prolyl cis-trans isomerase H,,1.039652469,,,,,,
P04440,"HLA class II histocompatibility antigen, DP beta 1 chain",2.163752157,2.016068447,2.048231721,,1,,,
O00232,26S proteasome non-ATPase regulatory subunit 12,,0.997507534,0.701566979,,,,,
Q9H9T3,Elongator complex protein 3,,0.978460511,,,,,,
Q9NX76,CKLF-like MARVEL transmembrane domain-containing protein 6,,,0.67439577,,,,,1
P98194,Calcium-transporting ATPase type 2C member 1,1.090602643,1.264656287,1.219656882,,,,,1
Q92979,Ribosomal RNA small subunit methyltransferase NEP1,,0.924172931,0.714628696,,,,,
Q8IX12,Cell division cycle and apoptosis regulator protein 1,,0.881598021,0.781678567,,,,,
P25445,Tumor necrosis factor receptor superfamily member 6,1.354690859,,1.136274111,,1,,,
Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,,0.975614942,0.683798993,,,,,
P98198,Probable phospholipid-transporting ATPase ID,0.976980541,1.051126797,1.075748242,,,,,1
Q04695,"Keratin, type I cytoskeletal 17",,0.843233787,0.632102202,,,,,
