"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"Q14534","HUMAN","Squalene monooxygenase","1","23.1348","2","1"
"Q9H9B4","HUMAN","Sideroflexin-1","1","1.25992388889","18","9"
"Q9UL25","HUMAN","Ras-related protein Rab-21","1","1.23673125","6","4"
"O60832","HUMAN","H/ACA ribonucleoprotein complex subunit 4","1","1.86204","3","1"
"Q12959","HUMAN","Disks large homolog 1","1","1.24123","2","1"
"P52565","HUMAN","Rho GDP-dissociation inhibitor 1","1","1.6834","1","1"
"Q9NYU2","HUMAN","UDP-glucose:glycoprotein glucosyltransferase 1","1","0.443685","1","1"
"[-Q2WGN9]","HUMAN","GRB2-associated-binding protein 4","1","24.4887","1","1"
"O94874","HUMAN","E3 UFM1-protein ligase 1","1","1.02544011111","30","18"
"Q14008","HUMAN","Cytoskeleton-associated protein 5","1","0.473495","1","1"
"Q9NZ08","HUMAN","Endoplasmic reticulum aminopeptidase 1","1","1.057097","10","5"
"Q86WC4","HUMAN","Osteopetrosis-associated transmembrane protein 1","1","1.63883","2","1"
"P49961","HUMAN","Ectonucleoside triphosphate diphosphohydrolase 1","1","0.878799","2","1"
"Q8WU39","HUMAN","Plasma cell-induced resident endoplasmic reticulum protein","1","0.7126765","6","4"
"P07737","HUMAN","Profilin-1","1","1.1277576","9","5"
"P62851","HUMAN","40S ribosomal protein S25","1","1.022751","5","3"
"Q9GZT3","HUMAN","SRA stem-loop-interacting RNA-binding protein, mitochondrial","1","0.845155","2","1"
"P18621","HUMAN","60S ribosomal protein L17","1","1.684095","3","2"
"P40939","HUMAN","Trifunctional enzyme subunit alpha, mitochondrial","1","1.10396872727","18","11"
"P28068","HUMAN","HLA class II histocompatibility antigen, DM beta chain","1","1.49294","2","1"
"P51148","HUMAN","Ras-related protein Rab-5C","1","1.165825","4","2"
"P28067","HUMAN","HLA class II histocompatibility antigen, DM alpha chain","1","4.52173","2","1"
"Q92947","HUMAN","Glutaryl-CoA dehydrogenase, mitochondrial","1","1.16683","2","1"
"P27635","HUMAN","60S ribosomal protein L10","1","0.915435","2","2"
"Q6QNY1","HUMAN","Biogenesis of lysosome-related organelles complex 1 subunit 2","1","1.18303","1","1"
"P04440","HUMAN","HLA class II histocompatibility antigen, DP beta 1 chain","1","1.543655","7","2"
"Q969N2","HUMAN","GPI transamidase component PIG-T","1","1.403906","9","5"
"Q9NQC3","HUMAN","Reticulon-4","1","4.66376833333","4","3"
"P62910","HUMAN","60S ribosomal protein L32","1","1.09457","4","3"
"P62913","HUMAN","60S ribosomal protein L11","1","1.002993","4","2"
"O75521","HUMAN","Peroxisomal 3,2-trans-enoyl-CoA isomerase","1","1.56044","2","1"
"Q5JRA6","HUMAN","Melanoma inhibitory activity protein 3","1","1.3771865","23","12"
"Q03518","HUMAN","Antigen peptide transporter 1","1","1.02800033333","11","6"
"Q03519","HUMAN","Antigen peptide transporter 2","1","0.972721333333","18","9"
"Q10570","HUMAN","Cleavage and polyadenylation specificity factor subunit 1","1","1.46162","2","1"
"P98194","HUMAN","Calcium-transporting ATPase type 2C member 1","1","1.17937","3","2"
"P49406","HUMAN","39S ribosomal protein L19, mitochondrial","1","0.896191","2","2"
"P31946","HUMAN","14-3-3 protein beta/alpha","1","3.86966","1","1"
"P60033","HUMAN","CD81 antigen","1","1.37672","3","1"
"Q16543","HUMAN","Hsp90 co-chaperone Cdc37","1","1.45898","1","1"
"Q10471","HUMAN","Polypeptide N-acetylgalactosaminyltransferase 2","1","1.161049","16","10"
"O15400","HUMAN","Syntaxin-7","1","1.16150342857","11","7"
"P25445","HUMAN","Tumor necrosis factor receptor superfamily member 6","1","1.22378","1","1"
"P31948","HUMAN","Stress-induced-phosphoprotein 1","1","0.792551","1","1"
"O95870","HUMAN","Protein BAT5","1","0.893509666667","4","3"
"Q9HCU5","HUMAN","Prolactin regulatory element-binding protein","1","1.37283166667","5","3"
"Q96DA6","HUMAN","Mitochondrial import inner membrane translocase subunit TIM14","1","2.32151","1","1"
"P35914","HUMAN","Hydroxymethylglutaryl-CoA lyase, mitochondrial","1","1.04551","1","1"
"O75915","HUMAN","PRA1 family protein 3","1","1.51023","8","4"
"Q7KZF4","HUMAN","Staphylococcal nuclease domain-containing protein 1","1","1.02508455556","14","9"
"Q86V81","HUMAN","THO complex subunit 4","1","0.970656","3","2"
"P61604","HUMAN","10 kDa heat shock protein, mitochondrial","1","0.95713","8","3"
"P22626","HUMAN","Heterogeneous nuclear ribonucleoproteins A2/B1","1","0.923715","6","3"
"Q9Y277","HUMAN","Voltage-dependent anion-selective channel protein 3","1","1.28783","21","8"
"P10606","HUMAN","Cytochrome c oxidase subunit 5B, mitochondrial","1","1.55959","2","1"
"P57678","HUMAN","Component of gems 4","1","0.700885","2","1"
"Q9H0U3","HUMAN","Magnesium transporter protein 1","1","1.28379","10","4"
"P18827","HUMAN","Syndecan-1","1","0.839034","2","1"
"P56937","HUMAN","3-keto-steroid reductase","1","1.06818","2","1"
"Q96RP9","HUMAN","Elongation factor G, mitochondrial","1","1.0943","1","1"
"Q9NTJ5","HUMAN","Phosphatidylinositide phosphatase SAC1","1","1.20314553846","23","13"
"P04080","HUMAN","Cystatin-B","1","1.00859","2","1"
"Q9UKV5","HUMAN","E3 ubiquitin-protein ligase AMFR","1","1.61714","2","1"
"P22307","HUMAN","Non-specific lipid-transfer protein","1","0.79367","3","2"
"Q9NTJ3","HUMAN","Structural maintenance of chromosomes protein 4","1","1.45776","2","1"
"[-Q9H792]","HUMAN","Tyrosine-protein kinase SgK269","1","1.20501","1","1"
"Q5T9A4","HUMAN","ATPase family AAA domain-containing protein 3B","1","1.1029","3","1"
"Q9BXN2","HUMAN","C-type lectin domain family 7 member A","1","1.0541425","3","2"
"Q8TCG2","HUMAN","Phosphatidylinositol 4-kinase type 2-beta","1","0.998679","2","1"
"P46459","HUMAN","Vesicle-fusing ATPase","1","1.14753866667","5","3"
"Q15382","HUMAN","GTP-binding protein Rheb","1","1.14096","2","1"
"P35613","HUMAN","Basigin","1","0.9858185","14","4"
"Q13530","HUMAN","Serine incorporator 3","1","1.00469","1","1"
"[-Q8TAD4]","HUMAN","Zinc transporter 5","1","1.58334","1","1"
"P55011","HUMAN","Solute carrier family 12 member 2","1","1.0679","2","1"
"Q9Y3E5","HUMAN","Peptidyl-tRNA hydrolase 2, mitochondrial","1","1.36153","2","1"
"P06454","HUMAN","Prothymosin alpha","1","1.74019","4","1"
"P61421","HUMAN","V-type proton ATPase subunit d 1","1","0.839578333333","3","3"
"Q5VV67","HUMAN","Peroxisome proliferator-activated receptor gamma coactivator-related protein 1","1","1.18946","4","1"
"P51572","HUMAN","B-cell receptor-associated protein 31","1","1.177443","5","3"
"Q96Q45","HUMAN","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein","1","0.935507","2","1"
"Q10713","HUMAN","Mitochondrial-processing peptidase subunit alpha","1","0.711742","2","1"
"P53801","HUMAN","Pituitary tumor-transforming gene 1 protein-interacting protein","1","1.73554","1","1"
"P48047","HUMAN","ATP synthase subunit O, mitochondrial","1","1.10497966667","14","6"
"[-A8MPS7]","HUMAN","UPF0249 protein ydjC homolog","1","0.61786","2","1"
"Q9H0R1","HUMAN","MHD domain-containing death-inducing protein","1","0.948094","1","1"
"Q14318","HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP8","1","1.00305866667","6","3"
"O15533","HUMAN","Tapasin","1","0.817736","7","3"
"Q96FZ7","HUMAN","Charged multivesicular body protein 6","1","1.11215","2","1"
"Q8WU79","HUMAN","Stromal membrane-associated protein 2","1","1.31713","2","1"
"P34741","HUMAN","Syndecan-2","1","2.40495","1","1"
"P48723","HUMAN","Heat shock 70 kDa protein 13","1","0.893519666667","5","3"
"P11413","HUMAN","Glucose-6-phosphate 1-dehydrogenase","1","0.419191","1","1"
"Q9NX00","HUMAN","Transmembrane protein 160","1","3.00154","1","1"
"P08670","HUMAN","Vimentin","1","1.0735291","17","10"
"P32969","HUMAN","60S ribosomal protein L9","1","1.02474","1","1"
"P31930","HUMAN","Cytochrome b-c1 complex subunit 1, mitochondrial","1","1.28279681818","26","11"
"Q9Y3U8","HUMAN","60S ribosomal protein L36","1","1.20394","3","2"
"Q5JTV8","HUMAN","Torsin-1A-interacting protein 1","1","1.34574","7","4"
"Q9P2E5","HUMAN","Chondroitin sulfate glucuronyltransferase","1","1.44672","1","1"
"P04844","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","1","1.304111","22","8"
"Q96KA5","HUMAN","Cleft lip and palate transmembrane protein 1-like protein","1","1.6411875","6","4"
"O43819","HUMAN","Protein SCO2 homolog, mitochondrial","1","1.25374","2","1"
"P04843","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","1","1.26707188","70","25"
"P31939","HUMAN","Bifunctional purine biosynthesis protein PURH","1","1.498326","3","2"
"Q7Z3C6","HUMAN","Autophagy-related protein 9A","1","0.988506","2","1"
"Q7L7X3","HUMAN","Serine/threonine-protein kinase TAO1","1","1.06353","1","1"
"Q13576","HUMAN","Ras GTPase-activating-like protein IQGAP2","1","0.8503575","4","2"
"Q99623","HUMAN","Prohibitin-2","1","1.13093118182","23","11"
"Q9BS26","HUMAN","Endoplasmic reticulum resident protein 44","1","1.40216714286","13","7"
"P54920","HUMAN","Alpha-soluble NSF attachment protein","1","1.164175","5","2"
"Q9NR56","HUMAN","Muscleblind-like protein 1","1","0.854129","1","1"
"O43747","HUMAN","AP-1 complex subunit gamma-1","1","1.20025","2","1"
"Q9NYL4","HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP11","1","0.994928","2","1"
"P42224","HUMAN","Signal transducer and activator of transcription 1-alpha/beta","1","1.1349225","6","4"
"Q9P0J0","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13","1","1.1445","2","1"
"Q6UXV4","HUMAN","Apolipoprotein O-like","1","1.34077","2","1"
"Q8TBQ9","HUMAN","Protein kish-A","1","1.04048","2","1"
"Q8ND90","HUMAN","Paraneoplastic antigen Ma1","1","1.2662","1","1"
"P51398","HUMAN","28S ribosomal protein S29, mitochondrial","1","1.24395","3","2"
"Q13740","HUMAN","CD166 antigen","1","1.720495","3","2"
"Q9P2W9","HUMAN","Syntaxin-18","1","0.812537","3","1"
"Q9HD20","HUMAN","Probable cation-transporting ATPase 13A1","1","1.08052564286","25","14"
"P47897","HUMAN","Glutaminyl-tRNA synthetase","1","0.425785","1","1"
"P08559","HUMAN","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial","1","0.9848255","3","2"
"P62191","HUMAN","26S protease regulatory subunit 4","1","0.722519","1","1"
"Q15907","HUMAN","Ras-related protein Rab-11B","1","1.01917","2","1"
"P30050","HUMAN","60S ribosomal protein L12","1","1.1319655","9","4"
"P28288","HUMAN","ATP-binding cassette sub-family D member 3","1","0.964690666667","6","3"
"P11166","HUMAN","Solute carrier family 2, facilitated glucose transporter member 1","1","0.847611","2","1"
"Q13586","HUMAN","Stromal interaction molecule 1","1","1.7625","2","1"
"[-Q9NR83]","HUMAN","SLC2A4 regulator","1","0.863686","1","1"
"Q9Y3B3","HUMAN","Transmembrane emp24 domain-containing protein 7","1","0.906398","2","1"
"P21333","HUMAN","Filamin-A","1","1.36850927273","21","11"
"Q9H490","HUMAN","Phosphatidylinositol glycan anchor biosynthesis class U protein","1","1.27869","4","2"
"Q96AN5","HUMAN","Transmembrane protein 143","1","0.66071","1","1"
"Q96L58","HUMAN","Beta-1,3-galactosyltransferase 6","1","1.280429","3","2"
"P62277","HUMAN","40S ribosomal protein S13","1","1.072246","9","4"
"Q9Y3D9","HUMAN","28S ribosomal protein S23, mitochondrial","1","0.910875","4","2"
"Q9NX95","HUMAN","Syntabulin","1","1.50062","1","1"
"P19404","HUMAN","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial","1","1.26396","4","2"
"P55072","HUMAN","Transitional endoplasmic reticulum ATPase","1","1.20186771429","24","14"
"O00425","HUMAN","Insulin-like growth factor 2 mRNA-binding protein 3","1","0.864726","1","1"
"P24752","HUMAN","Acetyl-CoA acetyltransferase, mitochondrial","1","0.965648125","16","8"
"Q9UNL2","HUMAN","Translocon-associated protein subunit gamma","1","1.234595","8","2"
"Q8N766","HUMAN","Uncharacterized protein KIAA0090","1","1.63438827273","17","11"
"P51571","HUMAN","Translocon-associated protein subunit delta","1","1.40957166667","16","6"
"P42356","HUMAN","Phosphatidylinositol 4-kinase alpha","1","0.861454","3","2"
"Q09666","HUMAN","Neuroblast differentiation-associated protein AHNAK","1","1.06399713514","59","37"
"P07602","HUMAN","Proactivator polypeptide","1","1.17211","4","2"
"Q9UBV7","HUMAN","Beta-1,4-galactosyltransferase 7","1","2.32467","2","1"
"P27348","HUMAN","14-3-3 protein theta","1","1.83166","2","2"
"P10586","HUMAN","Receptor-type tyrosine-protein phosphatase F","1","1.13753","1","1"
"Q9P2X0","HUMAN","Dolichol-phosphate mannosyltransferase subunit 3","1","0.93474","4","2"
"[-Q9HAZ2]","HUMAN","PR domain zinc finger protein 16","1","1.07926","1","1"
"Q10589","HUMAN","Bone marrow stromal antigen 2","1","1.20481","10","4"
"P51610","HUMAN","Host cell factor 1","1","1.07376","1","1"
"Q9H2D1","HUMAN","Mitochondrial folate transporter/carrier","1","1.25705","1","1"
"P51970","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8","1","1.40042","2","1"
"Q6P4E1","HUMAN","Protein CASC4","1","1.89859","1","1"
"P01920","HUMAN","HLA class II histocompatibility antigen, DQ beta 1 chain","1","1.99184666667","14","3"
"Q9Y282","HUMAN","Endoplasmic reticulum-Golgi intermediate compartment protein 3","1","1.7719675","7","4"
"Q8N8Q8","HUMAN","Mitochondrial inner membrane protein COX18","1","0.306621","1","1"
"Q9Y287","HUMAN","Integral membrane protein 2B","1","3.20367","2","1"
"Q9H061","HUMAN","Transmembrane protein 126A","1","1.25138333333","4","3"
"Q68CQ7","HUMAN","Glycosyltransferase 8 domain-containing protein 1","1","0.576352","3","1"
"P35998","HUMAN","26S protease regulatory subunit 7","1","0.932332","3","2"
"O00264","HUMAN","Membrane-associated progesterone receptor component 1","1","0.926959","2","1"
"Q9BYD3","HUMAN","39S ribosomal protein L4, mitochondrial","1","1.23644","4","2"
"Q9BYD2","HUMAN","39S ribosomal protein L9, mitochondrial","1","0.935239","1","1"
"P08865","HUMAN","40S ribosomal protein SA","1","0.95808025","9","4"
"Q9UGP8","HUMAN","Translocation protein SEC63 homolog","1","0.952479833333","9","6"
"P52815","HUMAN","39S ribosomal protein L12, mitochondrial","1","0.978784","4","3"
"Q8WUX1","HUMAN","Sodium-coupled neutral amino acid transporter 5","1","0.66167","2","1"
"P11310","HUMAN","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","1","0.956325","3","2"
"P14625","HUMAN","Endoplasmin","1","1.08655631579","56","19"
"Q07020","HUMAN","60S ribosomal protein L18","1","1.83628571429","23","7"
"Q07021","HUMAN","Complement component 1 Q subcomponent-binding protein, mitochondrial","1","0.925488333333","3","3"
"Q14165","HUMAN","Malectin","1","1.43716","4","1"
"P56557","HUMAN","Transmembrane protein 50B","1","1.05263","2","1"
"P56556","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6","1","1.1661","3","2"
"Q14160","HUMAN","Protein scribble homolog","1","1.092360625","14","8"
"Q9NUP9","HUMAN","Protein lin-7 homolog C","1","0.762058","1","1"
"P13010","HUMAN","X-ray repair cross-complementing protein 5","1","1.15856","4","2"
"P10809","HUMAN","60 kDa heat shock protein, mitochondrial","1","1.01478886667","30","15"
"Q6Y1H2","HUMAN","3-hydroxyacyl-CoA dehydratase 2","1","5.4918","3","2"
"P53985","HUMAN","Monocarboxylate transporter 1","1","0.895569","4","1"
"Q8WUM4","HUMAN","Programmed cell death 6-interacting protein","1","1.24736","2","1"
"P09525","HUMAN","Annexin A4","1","0.618609666667","4","3"
"Q6PEY2","HUMAN","Tubulin alpha-3E chain","1","1.0629","1","1"
"Q96BQ5","HUMAN","Coiled-coil domain-containing protein 127","1","2.02927","2","1"
"P16949","HUMAN","Stathmin","1","1.81725","2","2"
"P62341","HUMAN","Selenoprotein T","1","3.82633","2","1"
"P07947","HUMAN","Proto-oncogene tyrosine-protein kinase Yes","1","0.733141","1","1"
"P07237","HUMAN","Protein disulfide-isomerase","1","1.2020462381","49","21"
"P14854","HUMAN","Cytochrome c oxidase subunit 6B1","1","1.29836","2","1"
"O95347","HUMAN","Structural maintenance of chromosomes protein 2","1","0.865961","1","1"
"Q9GZP9","HUMAN","Derlin-2","1","1.13837","1","1"
"Q9BQB6","HUMAN","Vitamin K epoxide reductase complex subunit 1","1","1.15033","2","1"
"P16070","HUMAN","CD44 antigen","1","1.29336233333","4","3"
"P54709","HUMAN","Sodium/potassium-transporting ATPase subunit beta-3","1","1.235621","13","7"
"Q7Z4F1","HUMAN","Low-density lipoprotein receptor-related protein 10","1","0.681115","1","1"
"P07948","HUMAN","Tyrosine-protein kinase Lyn","1","0.898876","10","6"
"O00231","HUMAN","26S proteasome non-ATPase regulatory subunit 11","1","0.854752","2","1"
"[-Q9BZJ0]","HUMAN","Crooked neck-like protein 1","1","0.804031","2","1"
"O75027","HUMAN","ATP-binding cassette sub-family B member 7, mitochondrial","1","0.716478","2","1"
"Q8TAE8","HUMAN","Growth arrest and DNA damage-inducible proteins-interacting protein 1","1","1.2353","1","1"
"Q6P1X6","HUMAN","UPF0598 protein C8orf82","1","0.725677","2","1"
"Q93084","HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","1","3.43730655556","11","9"
"O95182","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7","1","1.10277","2","1"
"Q16540","HUMAN","39S ribosomal protein L23, mitochondrial","1","0.965831","2","1"
"P49368","HUMAN","T-complex protein 1 subunit gamma","1","1.01965166667","5","3"
"Q13310","HUMAN","Polyadenylate-binding protein 4","1","1.21886","6","3"
"P60174","HUMAN","Triosephosphate isomerase","1","1.27755","3","2"
"Q9HBH5","HUMAN","Retinol dehydrogenase 14","1","0.783735","4","2"
"P10515","HUMAN","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","1","1.014806875","14","8"
"Q8IZ81","HUMAN","ELMO domain-containing protein 2","1","0.565263","2","1"
"Q9NZW5","HUMAN","MAGUK p55 subfamily member 6","1","1.02176133333","7","6"
"Q12981","HUMAN","Vesicle transport protein SEC20","1","1.18343","1","1"
"[-Q10713]","HUMAN","Mitochondrial-processing peptidase subunit alpha","1","0.637041","2","1"
"P45880","HUMAN","Voltage-dependent anion-selective channel protein 2","1","1.20645875","17","8"
"Q12860","HUMAN","Contactin-1","1","2.71843","1","1"
"P57735","HUMAN","Ras-related protein Rab-25","1","0.990015","3","1"
"P23396","HUMAN","40S ribosomal protein S3","1","1.40116133333","12","6"
"P20645","HUMAN","Cation-dependent mannose-6-phosphate receptor","1","1.24367","3","1"
"Q8NBJ9","HUMAN","SID1 transmembrane family member 2","1","1.93392","1","1"
"P26196","HUMAN","Probable ATP-dependent RNA helicase DDX6","1","0.965615","4","2"
"P04899","HUMAN","Guanine nucleotide-binding protein G(i) subunit alpha-2","1","1.0567735","11","6"
"Q6ZVF9","HUMAN","G protein-regulated inducer of neurite outgrowth 3","1","1.3133","3","2"
"P17568","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7","1","1.34593","2","1"
"Q6ZNB6","HUMAN","NF-X1-type zinc finger protein NFXL1","1","1.27764","3","2"
"Q9Y6N5","HUMAN","Sulfide:quinone oxidoreductase, mitochondrial","1","1.253505","9","5"
"P17252","HUMAN","Protein kinase C alpha type","1","1.04643","2","1"
"Q96AA3","HUMAN","Protein RFT1 homolog","1","0.87706075","6","4"
"O75410","HUMAN","Transforming acidic coiled-coil-containing protein 1","1","0.947150666667","7","6"
"P53794","HUMAN","Sodium/myo-inositol cotransporter","1","1.13014","1","1"
"A8MXQ7","HUMAN","Putative IQ motif and ankyrin repeat domain-containing protein LOC642574","1","0.640524","1","1"
"P28331","HUMAN","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial","1","1.300057","11","7"
"O43316","HUMAN","Paired box protein Pax-4","1","1.17061","1","1"
"P62829","HUMAN","60S ribosomal protein L23","1","1.102995","3","2"
"Q9NX40","HUMAN","OCIA domain-containing protein 1","1","0.6517195","3","2"
"Q8WUD6","HUMAN","Cholinephosphotransferase 1","1","0.795999","1","1"
"Q9NX47","HUMAN","E3 ubiquitin-protein ligase MARCH5","1","1.03884","1","1"
"Q9H845","HUMAN","Acyl-CoA dehydrogenase family member 9, mitochondrial","1","1.05915","2","1"
"[-Q9ULJ3]","HUMAN","Zinc finger protein 295","1","1.04628","2","1"
"Q15233","HUMAN","Non-POU domain-containing octamer-binding protein","1","0.749381","2","1"
"Q6PIU2","HUMAN","Neutral cholesterol ester hydrolase 1","1","1.804515","4","2"
"P62826","HUMAN","GTP-binding nuclear protein Ran","1","1.22255","4","2"
"Q53H82","HUMAN","Beta-lactamase-like protein 2","1","0.821074","1","1"
"Q13405","HUMAN","39S ribosomal protein L49, mitochondrial","1","1.09298","2","1"
"P50213","HUMAN","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial","1","1.063485","4","2"
"P60228","HUMAN","Eukaryotic translation initiation factor 3 subunit E","1","0.777208","2","1"
"P31943","HUMAN","Heterogeneous nuclear ribonucleoprotein H","1","0.592636","1","1"
"P05556","HUMAN","Integrin beta-1","1","1.30341","2","1"
"P29992","HUMAN","Guanine nucleotide-binding protein subunit alpha-11","1","0.939085","2","1"
"Q9Y4W6","HUMAN","AFG3-like protein 2","1","1.231737","11","6"
"P30519","HUMAN","Heme oxygenase 2","1","1.08863","2","1"
"[-Q92576]","HUMAN","PHD finger protein 3","1","0.184478","1","1"
"P0CAP1","HUMAN","GRINL1A complex locus protein 1","1","0.010915","1","1"
"Q30154","HUMAN","HLA class II histocompatibility antigen, DR beta 5 chain","1","1.767765","4","2"
"Q9NX20","HUMAN","39S ribosomal protein L16, mitochondrial","1","1.02029","1","1"
"O95292","HUMAN","Vesicle-associated membrane protein-associated protein B/C","1","1.16787","8","5"
"P04229","HUMAN","HLA class II histocompatibility antigen, DRB1-1 beta chain","1","1.70152","4","1"
"Q4U2R6","HUMAN","39S ribosomal protein L51, mitochondrial","1","1.2971","2","1"
"P00846","HUMAN","ATP synthase subunit a","1","1.10076","4","1"
"O95297","HUMAN","Myelin protein zero-like protein 1","1","2.8121","6","1"
"Q9Y5M8","HUMAN","Signal recognition particle receptor subunit beta","1","0.888780214286","29","14"
"Q9BZE1","HUMAN","39S ribosomal protein L37, mitochondrial","1","1.12078","2","1"
"Q8IY95","HUMAN","Transmembrane protein 192","1","1.13076475","9","4"
"Q9H1C7","HUMAN","UPF0467 protein C5orf32","1","1.03161","2","1"
"Q92598","HUMAN","Heat shock protein 105 kDa","1","0.973335","1","1"
"P33993","HUMAN","DNA replication licensing factor MCM7","1","1.175875","3","2"
"P33991","HUMAN","DNA replication licensing factor MCM4","1","0.198461","1","1"
"Q92616","HUMAN","Translational activator GCN1","1","0.9368884","8","5"
"Q9UKX2","HUMAN","Myosin-2","1","18.6189","2","1"
"P62906","HUMAN","60S ribosomal protein L10a","1","1.0836775","9","4"
"[-Q9ULL1]","HUMAN","Pleckstrin homology domain-containing family G member 1","1","2.09026","1","1"
"[-Q9Y4F1]","HUMAN","FERM, RhoGEF and pleckstrin domain-containing protein 1","1","1.28883","1","1"
"P25788","HUMAN","Proteasome subunit alpha type-3","1","1.6313","1","1"
"P13861","HUMAN","cAMP-dependent protein kinase type II-alpha regulatory subunit","1","0.777547","1","1"
"P62195","HUMAN","26S protease regulatory subunit 8","1","0.799289","2","1"
"O14653","HUMAN","Golgi SNAP receptor complex member 2","1","1.58573","2","1"
"Q9NV96","HUMAN","Cell cycle control protein 50A","1","1.25915","2","1"
"P49755","HUMAN","Transmembrane emp24 domain-containing protein 10","1","1.25717025","7","4"
"O60704","HUMAN","Protein-tyrosine sulfotransferase 2","1","1.18818","2","1"
"P35232","HUMAN","Prohibitin","1","1.1106935","23","10"
"P61106","HUMAN","Ras-related protein Rab-14","1","1.17377333333","8","3"
"O75489","HUMAN","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial","1","1.462945","4","2"
"Q5SWX8","HUMAN","Protein odr-4 homolog","1","1.04666","2","1"
"Q9Y6I9","HUMAN","Testis-expressed sequence 264 protein","1","0.640073","2","1"
"Q96KC8","HUMAN","DnaJ homolog subfamily C member 1","1","1.164626","9","5"
"Q14344","HUMAN","Guanine nucleotide-binding protein subunit alpha-13","1","0.942148333333","6","3"
"Q96I99","HUMAN","Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial","1","2.35723","1","1"
"[-Q99549]","HUMAN","M-phase phosphoprotein 8","1","2.94869","2","1"
"Q9NRG9","HUMAN","Aladin","1","0.894438","3","2"
"O43759","HUMAN","Synaptogyrin-1","1","1.61648","2","1"
"P22830","HUMAN","Ferrochelatase, mitochondrial","1","1.42655","2","1"
"Q9Y6V0","HUMAN","Protein piccolo","1","1.15892","1","1"
"O95714","HUMAN","E3 ubiquitin-protein ligase HERC2","1","0.978426","1","1"
"Q5SSJ5","HUMAN","Heterochromatin protein 1-binding protein 3","1","0.652327","2","1"
"P62241","HUMAN","40S ribosomal protein S8","1","1.116012625","19","8"
"Q9H169","HUMAN","Stathmin-4","1","0.933497","1","1"
"P17980","HUMAN","26S protease regulatory subunit 6A","1","0.985609","1","1"
"P62244","HUMAN","40S ribosomal protein S15a","1","1.0543685","9","4"
"P48509","HUMAN","CD151 antigen","1","1.43253","2","1"
"P43307","HUMAN","Translocon-associated protein subunit alpha","1","1.56739","8","2"
"O75964","HUMAN","ATP synthase subunit g, mitochondrial","1","1.41135333333","8","3"
"Q92685","HUMAN","Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase","1","1.06581","2","1"
"Q969H8","HUMAN","UPF0556 protein C19orf10","1","0.991397","8","3"
"Q96A33","HUMAN","Coiled-coil domain-containing protein 47","1","1.620826","7","5"
"Q16611","HUMAN","Bcl-2 homologous antagonist/killer","1","0.744949","2","1"
"Q9H5K3","HUMAN","Protein kinase-like protein SgK196","1","0.940911","1","1"
"P42765","HUMAN","3-ketoacyl-CoA thiolase, mitochondrial","1","0.939519","3","2"
"Q96GW9","HUMAN","Methionyl-tRNA synthetase, mitochondrial","1","1.11923","1","1"
"O75746","HUMAN","Calcium-binding mitochondrial carrier protein Aralar1","1","1.0157594","8","5"
"P42766","HUMAN","60S ribosomal protein L35","1","1.1014","2","1"
"O00567","HUMAN","Nucleolar protein 56","1","0.709387","2","1"
"Q8NF37","HUMAN","Lysophosphatidylcholine acyltransferase 1","1","0.882244","15","5"
"Q9UHD1","HUMAN","Cysteine and histidine-rich domain-containing protein 1","1","0.667149","2","2"
"Q6NUQ4","HUMAN","Transmembrane protein 214","1","1.0133192","8","5"
"Q96JB5","HUMAN","CDK5 regulatory subunit-associated protein 3","1","2.51304125","6","4"
"[-Q6ZVH7]","HUMAN","Espin-like protein","1","0.971543","1","1"
"Q7Z5G4","HUMAN","Golgin subfamily A member 7","1","1.03638","2","1"
"Q96AJ9","HUMAN","Vesicle transport through interaction with t-SNAREs homolog 1A","1","0.818796","2","1"
"Q92508","HUMAN","Protein PIEZO1","1","2.67896","4","3"
"Q92506","HUMAN","Estradiol 17-beta-dehydrogenase 8","1","1.09441","1","1"
"Q8TC12","HUMAN","Retinol dehydrogenase 11","1","1.4053425","6","4"
