Accession,Localization,Description,Norm avg ratio,test,direct sec61?,membrane?,GO
P62312,,U6 snRNA-associated Sm-like protein LSm6,0.84011291,1,,,small nuclear ribonucleoprotein complex;cytoplasm;nucleus;
P62314,,Small nuclear ribonucleoprotein Sm D1,1.050166801,1,,,small nuclear ribonucleoprotein complex;nucleus;nucleoplasm;cytosol;cytoplasm;spliceosomal complex;
P62316,cytosol,Small nuclear ribonucleoprotein Sm D2,0.943995518,1,,,cytosol;small nuclear ribonucleoprotein complex;nucleoplasm;spliceosomal complex;nucleus;
P62318,cytosol,Small nuclear ribonucleoprotein Sm D3,0.778054159,1,,,small nuclear ribonucleoprotein complex;nucleoplasm;cytosol;nucleus;spliceosomal complex;cytoplasm;U7 snRNP;
P62328,,Thymosin beta-4,0.758279116,1,,,cytosol;nucleus;cytoskeleton;cytoplasm;
P62330,cytosol,ADP-ribosylation factor 6,0.945491854,1,,,cytoplasm;intracellular;cell cortex;Golgi apparatus;endosome membrane;recycling endosome;membrane fraction;early endosome;plasma membrane;endosome;ruffle;
P62333,,26S protease regulatory subunit 10B,0.748157487,1,,,nucleus;cytoplasm;proteasome complex;
P62424,cytosol,60S ribosomal protein L7a,0.975648802,1,,,membrane fraction;polysomal ribosome;cytosolic large ribosomal subunit;cytosol;
P62487,,DNA-directed RNA polymerase II subunit RPB7,1.232567411,1,,,nucleoplasm;nucleoplasm;nucleoplasm;DNA-directed RNA polymerase II; core complex;nucleus;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;
P62495,cytosol,Eukaryotic peptide chain release factor subunit 1,0.966194758,1,,,cytoplasm;
P62633,,Cellular nucleic acid-binding protein,0.937834185,1,,,cytoplasm;endoplasmic reticulum;
P62701,cytosol,"40S ribosomal protein S4, X isoform",0.947360883,1,,,ribonucleoprotein complex;small ribosomal subunit;ribosome;polysome;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;cytosol;cytosolic small ribosomal subunit;cytoplasm;intracellular;
P62750,cytosol,60S ribosomal protein L23a,1.000678509,1,,,intracellular;cytosol;cytosolic large ribosomal subunit;ribosome;
P62753,cytosol,40S ribosomal protein S6,1.058657831,1,,,polysome;cytosolic small ribosomal subunit;cytoplasm;cytosol;nucleolus;ribosome;nucleus;small ribosomal subunit;ribonucleoprotein complex;cytosolic small ribosomal subunit;perinuclear region of cytoplasm;cytosol;cytosolic small ribosomal subunit;intracellular;
P62805,cytosol,Histone H4,0.859000661,1,,,nucleus;nucleosome;nucleoplasm;chromosome;
P62820,,Ras-related protein Rab-1A,0.98560821,1,,,neuronal cell body;endoplasmic reticulum;soluble fraction;Golgi apparatus;insoluble fraction;
P62826,cytosol,GTP-binding nuclear protein Ran,1.052257661,1,,,cytosol;chromatin;nucleus;nucleoplasm;nucleoplasm;nuclear pore;melanosome;cytoplasm;
P62829,,60S ribosomal protein L23,0.830669244,1,,,nucleolus;cytosol;cytoplasm;ribosome;intracellular;
P62834,cytosol,Ras-related protein Rap-1A,0.995900604,1,,,plasma membrane;plasma membrane;intracellular;cytosol;guanyl-nucleotide exchange factor complex;
P62841,,40S ribosomal protein S15,0.924305086,1,,,nucleus;cytosolic small ribosomal subunit;nucleus;nucleoplasm;cytosolic small ribosomal subunit;ribosome;cytosol;intracellular;
P62847,,40S ribosomal protein S24,0.863228407,1,,,cytosolic small ribosomal subunit;small ribosomal subunit;cytosolic small ribosomal subunit;cytosol;intracellular;ribosome;
P62851,cytosol,40S ribosomal protein S25,1.06791231,1,,,ribosome;ribosome;nucleolus;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;cytosol;small ribosomal subunit;
P62857,cytosol,40S ribosomal protein S28,0.748361598,1,,,cytosol;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;small ribosomal subunit;ribosome;intracellular;
P62861,cytosol,40S ribosomal protein S30,0.914809906,1,,,cytosolic small ribosomal subunit;small ribosomal subunit;intracellular;ribosome;cytosolic small ribosomal subunit;cytosol;
P62873,cytosol,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,0.941941128,1,,,photoreceptor outer segment;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;heterotrimeric G-protein complex;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;
P62875,,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1.27067265,1,,,nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleus;nucleoplasm;nucleoplasm;nucleoplasm;DNA-directed RNA polymerase II; core complex;
P62879,cytosol,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,1.026392236,1,,,cytoplasm;perinuclear region of cytoplasm;protein complex;
P62888,cytosol,60S ribosomal protein L30,0.978070499,1,,,cytosol;ribosome;cytosolic large ribosomal subunit;cytoplasm;intracellular;
P62899,cytosol,60S ribosomal protein L31,0.900484253,1,,,cytosol;cytosolic large ribosomal subunit;ribosome;intracellular;
P62906,cytosol,60S ribosomal protein L10a,0.924646854,1,,,mitochondrion;intracellular;cytosol;ribosome;
P62910,cytosol,60S ribosomal protein L32,0.884932552,1,,,ribosome;cytosol;intracellular;
P62913,cytosol,60S ribosomal protein L11,0.983781537,1,,,intracellular;nucleolus;ribosome;cytosolic large ribosomal subunit;cytosol;
P62917,cytosol,60S ribosomal protein L8,1.073176737,1,,,cytosolic large ribosomal subunit;ribosome;cytosol;cytoplasm;intracellular;
P62937,cytosol,Peptidyl-prolyl cis-trans isomerase A,0.939257831,1,,,extracellular region;cytosol;extracellular region;cytosol;cytoplasm;nucleus;cytosol;
P62979,,Ubiquitin-40S ribosomal protein S27a,0.851689309,1,,,small ribosomal subunit;intracellular;ribosome;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;cytosol;
P62993,,Growth factor receptor-bound protein 2,0.91636588,1,,,cytosol;cytosol;cytosol;cytosol;cytoplasm;cytosol;cytosol;cytosol;cytosol;cytosol;cytosol;cytosol;Golgi apparatus;cytosol;cytosol;membrane;cytosol;cytosol;cytosol;cytosol;vesicle membrane;protein complex;cytosol;cytosol;cytosol;cytosol;cytosol;
P62995,,Transformer-2 protein homolog beta,0.841119387,1,,,nucleus;
P63000,,Ras-related C3 botulinum toxin substrate 1,1.221234827,1,,,intracellular;cytosol;cytosol;plasma membrane;melanosome;plasma membrane;cytosol;
P63010,,AP-2 complex subunit beta,1.260954136,1,,,clathrin adaptor complex;membrane coat;coated pit;plasma membrane;cytosol;cytosol;plasma membrane;endocytic vesicle membrane;
P63027,,Vesicle-associated membrane protein 2,0.918167117,1,,,synapse;plasma membrane;clathrin sculpted glutamate transport vesicle membrane;secretory granule membrane;synaptosome;cell junction;cytoplasmic vesicle;integral to plasma membrane;synaptic vesicle membrane;
P63098,,Calcineurin subunit B type 1,1.068133975,1,,,calcineurin complex;cytosol;cytosol;
P63104,cytosol,14-3-3 protein zeta/delta,1.093977291,1,,,postsynaptic density;mitochondrion;cytoplasm;melanosome;protein complex;nucleus;mitochondrion;soluble fraction;
P63151,,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,0.960035346,1,,,protein phosphatase type 2A complex;protein phosphatase type 2A complex;
P63165,,Small ubiquitin-related modifier 1,0.709427376,1,,,PML body;cytoplasm;nucleus;nuclear pore;membrane;nuclear membrane;nuclear speck;
P63173,,60S ribosomal protein L38,0.917048596,1,,,cytosolic large ribosomal subunit;cytosol;ribosome;intracellular;
P63208,,S-phase kinase-associated protein 1,0.752367081,1,,,cytosol;cytosol;cytosol;nucleoplasm;SCF ubiquitin ligase complex;
P63218,GPI anchor,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,0.895386322,1,,,mitochondrion;heterotrimeric G-protein complex;plasma membrane;
P63220,,40S ribosomal protein S21,0.738511014,1,,,ribosome;cytosol;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;cytosolic small ribosomal subunit;small ribosomal subunit;cytoplasm;intracellular;
P63241,,Eukaryotic translation initiation factor 5A-1,0.770541446,1,,,nucleus;cytoplasm;nucleus;cytoplasm;nuclear pore;endoplasmic reticulum membrane;endoplasmic reticulum;cytosol;annulate lamellae;membrane;
P63244,cytosol,Guanine nucleotide-binding protein subunit beta-2-like 1,0.929476612,1,,,cytoplasm;neuronal cell body;plasma membrane;
P63261,cytosol,"Actin, cytoplasmic 2",1.370835799,1,,,cytoskeleton;soluble fraction;actin cytoskeleton;cytosol;filamentous actin;cortical cytoskeleton;cytoplasm;
P63279,,SUMO-conjugating enzyme UBC9,1.039781703,1,,,nucleus;synaptonemal complex;nucleus;PML body;
P63313,,Thymosin beta-10,0.815429583,1,,,cytoskeleton;cytoplasm;
P67812,type II,Signal peptidase complex catalytic subunit SEC11A,1.300594628,1,,,membrane;endoplasmic reticulum;microsome;endoplasmic reticulum membrane;integral to membrane;
P67870,,Casein kinase II subunit beta,0.772010294,1,,,plasma membrane;protein kinase CK2 complex;cytoplasm;
P67936,,Tropomyosin alpha-4 chain,0.659202738,1,,,cytoskeleton;muscle thin filament tropomyosin;cytoplasm;
P68036,,Ubiquitin-conjugating enzyme E2 L3,0.923454345,1,,,ubiquitin ligase complex;cytoplasm;
P68366,cytosol,Tubulin alpha-4A chain,1.015251711,1,,,cytosol;cytosol;cytosol;extracellular region;extracellular region;cytosol;cytosol;cytosol;cytosol;microtubule;
P68400,cytosol,Casein kinase II subunit alpha,1.089766468,1,,,Sin3 complex;nucleus;plasma membrane;NuRD complex;
P78310,type I,Coxsackievirus and adenovirus receptor ESSENTIAL!,2.355551609,1,,,integral to plasma membrane;tight junction;plasma membrane;cell-cell junction;extracellular region;adherens junction;plasma membrane;basolateral plasma membrane;
P78330,,Phosphoserine phosphatase,0.902510161,1,,,synaptosome;
P78344,cytosol,Eukaryotic translation initiation factor 4 gamma 2,0.956869935,1,,,eukaryotic translation initiation factor 4F complex;cytoplasm;
P78346,,Ribonuclease P protein subunit p30,1.104959133,1,,,nucleolar ribonuclease P complex;nucleus;nucleolus;
P78347,cytosol,General transcription factor II-I,1.031872626,1,,,nucleus;cytoplasm;cell projection;neuronal cell body;
P78357,type I,Contactin-associated protein 1,0.989844132,1,,,paranode region of axon;membrane;integral to plasma membrane;voltage-gated potassium channel complex;
P78371,cytosol,T-complex protein 1 subunit beta,0.974937083,1,,,cytosol;nucleolus;nucleus;cytoplasm;cytosol;chaperonin-containing T-complex;
P78382,multiTM,CMP-sialic acid transporter,0.802264837,1,,,membrane;Golgi membrane;integral to plasma membrane;Golgi apparatus;
P78406,,mRNA export factor,1.194512103,1,,,nucleus;nuclear envelope;nuclear outer membrane;nuclear envelope;nuclear pore;cytoplasm;nuclear pore;cytoskeleton;
P78417,,Glutathione S-transferase omega-1,0.730322428,1,,,cytoplasm;
P78527,cytosol,DNA-dependent protein kinase catalytic subunit,0.980114152,1,,,nonhomologous end joining complex;nucleoplasm;DNA-dependent protein kinase-DNA ligase 4 complex;nucleus;transcription factor complex;nucleoplasm;
P78536,type I,"Disintegrin and metalloproteinase domain-containing protein 17, TACE",1.712927112,1,,,cell surface;membrane raft;apical plasma membrane;membrane;actin cytoskeleton;focal adhesion;integral to plasma membrane;membrane raft;cytoplasm;cell-cell junction;ruffle membrane;cell surface;cell surface;
P78537,,Biogenesis of lysosome-related organelles complex 1 subunit 1,1.058046782,1,,,BLOC-1 complex;
P78563,,Double-stranded RNA-specific editase 1,1.0641768,1,,,nucleus;nucleoplasm;intracellular;nucleolus;
P80303,secreted,Nucleobindin-2,1.055556182,1,,,cytosol;plasma membrane;cytoplasm;endoplasmic reticulum;extracellular region;Golgi apparatus;Golgi medial cisterna;nuclear outer membrane;extracellular space;nucleus;ER-Golgi intermediate compartment;
P82650,,"28S ribosomal protein S22, mitochondrial",1.045921899,1,,,mitochondrial ribosome;mitochondrial small ribosomal subunit;mitochondrion;ribosome;
P82673,,"28S ribosomal protein S35, mitochondrial",0.868607229,1,,,ribosome;mitochondrial small ribosomal subunit;mitochondrion;mitochondrial small ribosomal subunit;
P82675,,"28S ribosomal protein S5, mitochondrial",1.019545659,1,,,intracellular;ribosome;mitochondrion;
P82909,cytosol,"28S ribosomal protein S36, mitochondrial",0.988078173,1,,,mitochondrion;ribosome;mitochondrial small ribosomal subunit;
P82933,cytosol,"28S ribosomal protein S9, mitochondrial",0.746836883,1,,,ribosome;mitochondrion;mitochondrial small ribosomal subunit;intracellular;
P82979,cytosol,SAP domain-containing ribonucleoprotein,0.957662433,1,,,nucleus;
P83731,cytosol,60S ribosomal protein L24,0.902173341,1,,,ribosome;cytosol;cytosolic large ribosomal subunit;intracellular;
P84077,,ADP-ribosylation factor 1,0.646030344,1,,,sarcomere;perinuclear region of cytoplasm;Golgi membrane;plasma membrane;Golgi membrane;Golgi apparatus;Golgi membrane;intracellular;cytosol;cytoplasm;
P84090,,Enhancer of rudimentary homolog,0.783575139,1,,,NA
P84095,GPI anchor,Rho-related GTP-binding protein RhoG,1.086853583,1,,,intracellular;cytosol;plasma membrane;
P84098,cytosol,60S ribosomal protein L19,0.933900151,1,,,intracellular;cytosol;ribosome;cytosolic large ribosomal subunit;
P84103,,Serine/arginine-rich splicing factor 3,0.826951284,1,,,nucleus;
P85037,,Forkhead box protein K1,0.959809971,1,,,intracellular membrane-bounded organelle;nucleolus;nucleus;nucleolus;
P98082,,Disabled homolog 2,1.14996194,1,,,clathrin coated vesicle membrane;cytoplasmic vesicle;coated pit;cytoplasm;nucleus;membrane;
P98172,type I,Ephrin-B1,4.294684777,1,,,soluble fraction;integral to plasma membrane;synapse;membrane raft;membrane;
P98175,,RNA-binding protein 10,1.044279409,1,,,nucleus;chromatin remodeling complex;intracellular;nucleus;
P98179,,Putative RNA-binding protein 3,0.79599683,1,,,dendrite;cell projection;cytoplasm;nucleus;large ribosomal subunit;
P98194,multiTM,Calcium-transporting ATPase type 2C member 1,1.090688314,1,,,Golgi apparatus;membrane;integral to membrane;Golgi apparatus;trans-Golgi network;Golgi membrane;
P98198,multiTM,Probable phospholipid-transporting ATPase ID,0.977057287,1,,,integral to membrane;membrane;
P99999,,Cytochrome c,1.00358971,1,,,cytosol;cytosol;protein phosphatase type 2A complex;cytosol;mitochondrial intermembrane space;nucleus;respiratory chain;mitochondrion;cytosol;mitochondrial matrix;
Q00325,mito/PM,"Phosphate carrier protein, mitochondrial",0.909353368,1,,,mitochondrial inner membrane;mitochondrion;membrane;mitochondrion;integral to plasma membrane;
Q00341,cytosol,Vigilin,1.000157115,1,,,high-density lipoprotein particle;plasma membrane;cytoplasm;nucleus;
Q00535,,Cyclin-dependent kinase 5,1.062713306,1,,,cytoskeleton;dendrite;filopodium;membrane;neuronal cell body;cytosol;axon;growth cone;lamellipodium;cyclin-dependent protein kinase 5 holoenzyme complex;neuromuscular junction;cytoplasm;nucleus;
Q00610,cytosol,Clathrin heavy chain 1,0.999631476,1,,,cytoplasmic vesicle membrane;clathrin coat of trans-Golgi network vesicle;clathrin coat;clathrin coat of coated pit;cytoplasmic vesicle;plasma membrane;melanosome;plasma membrane;
Q00653,,Nuclear factor NF-kappa-B p100 subunit,0.911671094,1,,,cytoplasm;nucleus;Bcl3/NF-kappaB2 complex;
Q00688,,Peptidyl-prolyl cis-trans isomerase FKBP3,0.91234701,1,,,nucleus;
Q00765,multiTM,Receptor expression-enhancing protein 5,0.98923376,1,,,integral to membrane;membrane;
Q00796,,Sorbitol dehydrogenase,0.857072759,1,,,soluble fraction;soluble fraction;extracellular space;membrane fraction;
Q00839,cytosol,Heterogeneous nuclear ribonucleoprotein U,0.997309985,1,,,ribonucleoprotein complex;CRD-mediated mRNA stability complex;cell surface;nucleus;heterogeneous nuclear ribonucleoprotein complex;spliceosomal complex;cytoplasm;
Q01081,,Splicing factor U2AF 35 kDa subunit,1.046470708,1,,,nucleus;Cajal body;spliceosomal complex;
Q01082,cytosol,"Spectrin beta chain, brain 1",0.935995304,1,,,spectrin;plasma membrane;cytoplasm;cytosol;cuticular plate;nucleus;nucleolus;protein complex;cortical cytoskeleton;M band;
Q01105,cytosol,Protein SET,0.955966207,1,,,nucleus;endoplasmic reticulum;perinuclear region of cytoplasm;nucleoplasm;cytosol;cytoplasm;protein complex;
Q01130,,Serine/arginine-rich splicing factor 2,0.858919667,1,,,nucleus;spliceosomal complex;nucleus;nuclear speck;PML body;nuclear speck;
Q01433,,AMP deaminase 2,0.918955976,1,,,cellular_component;
Q01469,,"Fatty acid-binding protein, epidermal",0.70784923,1,,,cytoplasm;
Q01518,unchar.,Adenylyl cyclase-associated protein 1,1.105903534,1,,,cytoplasm;cortical actin cytoskeleton;plasma membrane;
Q01581,,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",0.879928295,1,,,soluble fraction;cytosol;cytoplasm;
Q01650,multiTM,Large neutral amino acids transporter small subunit 1,0.853163468,1,,,cytoplasm;cytosol;plasma membrane;integral to membrane;apical plasma membrane;
Q01780,nucleus,Exosome component 10,1.136408051,1,,,nuclear exosome (RNase complex);nucleolus;intracellular;cytoplasm;nucleus;
Q01813,,6-phosphofructokinase type C,0.773961992,1,,,6-phosphofructokinase complex;soluble fraction;cytoplasm;cytosol;
Q01844,,RNA-binding protein EWS,0.876317939,1,,,cytoplasm;nucleus;intracellular;plasma membrane;
Q01974,,Tyrosine-protein kinase transmembrane receptor ROR2,1.411858019,1,,,membrane;integral to plasma membrane;
Q02127,mito,"Dihydroorotate dehydrogenase, mitochondrial",0.962682298,1,,,mitochondrial inner membrane;mitochondrion;integral to membrane;membrane;
Q02218,mito,"2-oxoglutarate dehydrogenase, mitochondrial",1.050287238,1,,,mitochondrial matrix;mitochondrial membrane;mitochondrion;
Q02223,type I,Tumor necrosis factor receptor superfamily member 17,0.991818945,1,,,integral to membrane;endomembrane system;plasma membrane;
Q02338,mito,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",0.833555538,1,,,mitochondrial matrix;mitochondrion;mitochondrial matrix;mitochondrial inner membrane;
Q02543,cytosol,60S ribosomal protein L18a,0.841869851,1,,,ribosome;cytosolic large ribosomal subunit;intracellular;cytosol;
Q02750,,Dual specificity mitogen-activated protein kinase kinase 1,0.801343129,1,,,perikaryon;dendrite cytoplasm;plasma membrane;cell cortex;soluble fraction;microtubule;cytosol;Golgi apparatus;axon part;perinuclear region of cytoplasm;
Q02790,,Peptidyl-prolyl cis-trans isomerase FKBP4,0.802162383,1,,,nucleus;axonal growth cone;cytoplasm;intracellular;nucleolus;cytosol;
Q02809,,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.930196145,1,,,rough endoplasmic reticulum membrane;endoplasmic reticulum;membrane;
Q02818,cytosol,Nucleobindin-1,0.990012474,1,,,Golgi apparatus;membrane;extracellular space;cytoplasm;ER-Golgi intermediate compartment;
Q02878,cytosol,60S ribosomal protein L6,0.920950459,1,,,cytosol;ribosome;cytosolic large ribosomal subunit;intracellular;
Q02880,,DNA topoisomerase 2-beta,0.892312338,1,,,chromosome;cytosol;nucleoplasm;nucleolus;heterochromatin;nucleus;cytoplasm;
Q02978,mito,Mitochondrial 2-oxoglutarate/malate carrier protein,0.90668985,1,,,membrane;mitochondrial inner membrane;mitochondrion;integral to plasma membrane;mitochondrion;
Q03154,,Aminoacylase-1,0.953520548,1,,,cytoplasm;cytosol;
Q03252,cytosol,Lamin-B2,0.83664451,1,,,lamin filament;membrane;nuclear lamina;nucleus;
Q03518,multiTM,Antigen peptide transporter 1,0.967945782,1,,,integral to endoplasmic reticulum membrane;membrane;endoplasmic reticulum;TAP complex;integral to membrane;endoplasmic reticulum membrane;integral to endoplasmic reticulum membrane;mitochondrion;cytosol;TAP complex;microsome;
Q03519,multiTM,Antigen peptide transporter 2,0.847036707,1,,,membrane;nucleus;TAP complex;TAP complex;endoplasmic reticulum membrane;endoplasmic reticulum;integral to endoplasmic reticulum membrane;integral to membrane;
Q03701,,CCAAT/enhancer-binding protein zeta,0.816717592,1,,,nucleus;
Q04206,,Transcription factor p65,0.948552406,1,,,cytoplasm;cytosol;cytosol;cytoplasm;transcription factor complex;cytosol;nucleus;nucleoplasm;nucleus;nucleus;
Q04323,,UBX domain-containing protein 1,0.808088633,1,,,cytoplasm;proteasome complex;
Q04637,cytosol,Eukaryotic translation initiation factor 4 gamma 1,1.137093247,1,,,eukaryotic translation initiation factor 4F complex;cytoplasm;cytosol;cytosol;cytosol;
Q04656,multiTM,Copper-transporting ATPase 1,0.938943531,1,,,endoplasmic reticulum;cytoplasm;perinuclear region of cytoplasm;plasma membrane;endoplasmic reticulum;late endosome;trans-Golgi network;cytosol;trans-Golgi network transport vesicle;trans-Golgi network;perinuclear region of cytoplasm;perinuclear region of cytoplasm;integral to membrane;basolateral plasma membrane;neuronal cell body;neuron projection;Golgi apparatus;
Q04695,,"Keratin, type I cytoskeletal 17",0.799227411,1,,,intermediate filament;intermediate filament cytoskeleton;nucleus;nucleolus;cytoplasm;intermediate filament;
Q04721,type I,"Neurogenic locus notch homolog protein 2, NOTCH2",0.860659964,1,,,nucleus;plasma membrane;integral to plasma membrane;cell surface;
Q04760,,Lactoylglutathione lyase,0.76245514,1,,,cytoplasm;soluble fraction;
Q04837,,"Single-stranded DNA-binding protein, mitochondrial",0.709202403,1,,,mitochondrion;mitochondrial nucleoid;
Q04917,cytosol,14-3-3 protein eta,1.054388091,1,,,cytoplasm;
Q05048,,Cleavage stimulation factor subunit 1,0.931543848,1,,,nucleus;
Q05397,,Focal adhesion kinase 1,1.082942103,1,,,focal adhesion;cytosol;apical plasma membrane;cytosol;cell junction;cytoskeleton;cytoplasm;plasma membrane;cytosol;lamellipodium;
Q05519,,Serine/arginine-rich splicing factor 11,0.98175875,1,,,nucleus;nucleolus;
Q05639,,Elongation factor 1-alpha 2,0.914465107,1,,,cytoplasm;nucleus;neuronal cell body;
Q05682,,Caldesmon,0.733631625,1,,,actin cytoskeleton;membrane fraction;cytoskeleton;actin cap;myofibril;neuronal cell body;dendritic spine;cytoplasm;postsynaptic density;actin filament;plasma membrane;
Q06124,,Tyrosine-protein phosphatase non-receptor type 11,1.25118737,1,,,cytosol;cytosol;cytosol;protein complex;soluble fraction;cytosol;cytosol;cytosol;cytosol;cytosol;cytoplasm;cytosol;mitochondrion;
Q06136,,3-ketodihydrosphingosine reductase,1.243538237,1,,,endoplasmic reticulum membrane;membrane;extracellular space;integral to membrane;endoplasmic reticulum;
Q06203,,Amidophosphoribosyltransferase,0.89684082,1,,,NA
Q06210,,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,0.734573563,1,,,cytoplasm;
Q06265,,Exosome complex component RRP45,0.991245393,1,,,nucleolus;cytoplasm;nuclear exosome (RNase complex);nucleus;
Q06323,,Proteasome activator complex subunit 1,0.835784354,1,,,proteasome activator complex;proteasome complex;cytoplasm;
Q06481,type I,Amyloid-like protein 2,0.921512534,1,,,nucleus;plasma membrane;integral to membrane;
Q06830,cytosol,Peroxiredoxin-1,0.969843577,1,,,nucleus;cytoplasm;mitochondrion;melanosome;
Q07020,cytosol,60S ribosomal protein L18,0.87852741,1,,,ribosome;intracellular;cytosolic large ribosomal subunit;cytoplasm;cytosol;
Q07021,mito,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.870608377,1,,,mitochondrial matrix;plasma membrane;nucleus;membrane;mitochondrion;
Q07065,,Cytoskeleton-associated protein 4,1.562274476,1,,,membrane fraction;membrane;endoplasmic reticulum;integral to membrane;ER-Golgi intermediate compartment membrane;
Q07666,,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",0.902991934,1,,,membrane;nucleus;
Q07812,cytosol/mito,Apoptosis regulator BAX,2.446386824,1,,,mitochondrial permeability transition pore complex;endoplasmic reticulum;integral to membrane;mitochondrion;cytosol;endoplasmic reticulum membrane;cytoplasm;membrane;mitochondrion;cytosol;mitochondrial outer membrane;cytosol;
Q07866,,Kinesin light chain 1,0.688801735,1,,,microtubule;cytosol;kinesin complex;
Q07955,cytosol,Serine/arginine-rich splicing factor 1,0.995192001,1,,,nucleus;spliceosomal complex;cytoplasm;nuclear speck;
Q07960,,Rho GTPase-activating protein 1,1.144927619,1,,,centrosome;cytoplasm;intracellular membrane-bounded organelle;intracellular;
Q08209,cytosol,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,0.864552305,1,,,cytosol;insoluble fraction;cytoplasm;membrane;calcineurin complex;microsome;Z disc;soluble fraction;nucleus;mitochondrion;
Q08211,cytosol,ATP-dependent RNA helicase A,1.010452631,1,,,CRD-mediated mRNA stability complex;nucleolus;cytoplasm;ribonucleoprotein complex;ribonucleoprotein complex;centrosome;nucleus;intracellular;
Q08257,,Quinone oxidoreductase,1.627345828,1,,,soluble fraction;cytoplasm;cytosol;
Q08357,multiTM,Sodium-dependent phosphate transporter 2,0.944000795,1,,,integral to plasma membrane;plasma membrane;membrane fraction;
Q08378,,Golgin subfamily A member 3,1.257365444,1,,,Golgi membrane;Golgi transport complex;ER-Golgi intermediate compartment;Golgi apparatus;membrane;Golgi cisterna membrane;cytoplasm;
Q08379,cytosol,Golgin subfamily A member 2,1.018740815,1,,,Golgi apparatus;Golgi apparatus;Golgi cisterna membrane;membrane;
Q08722,multiTM SS,Leukocyte surface antigen CD47,1.152186249,1,,,plasma membrane;integral to plasma membrane;
Q08752,,Peptidyl-prolyl cis-trans isomerase D,0.774874884,1,,,cytoplasm;
Q08945,,FACT complex subunit SSRP1,0.833547857,1,,,nucleoplasm;chromosome;cytoplasm;nucleus;
Q08AM6,,Protein VAC14 homolog,0.989547278,1,,,microsome;endosome membrane;endoplasmic reticulum;membrane;endosome;
Q08J23,,tRNA (cytosine(34)-C(5))-methyltransferase,0.817308678,1,,,cytoplasm;nucleus;nucleolus;
Q09028,,Histone-binding protein RBBP4,0.681271794,1,,,NuRD complex;ESC/E(Z) complex;NuRD complex;nucleus;Sin3 complex;
Q09161,,Nuclear cap-binding protein subunit 1,0.727196306,1,,,nucleoplasm;mRNA cap binding complex;ribonucleoprotein complex;cytoplasm;nucleus;nucleoplasm;cytosol;mRNA cap binding complex;nucleus;nucleoplasm;mRNA cap binding complex;
Q09666,nucleus,Neuroblast differentiation-associated protein AHNAK,1.06056887,1,,,nucleus;
Q0VDF9,,Heat shock 70 kDa protein 14,0.70505544,1,,,NA
Q0VGL1,cytosol,UPF0539 protein C7orf59,1.117708227,1,,,None
Q10469,type II,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.96981102,1,,,Golgi membrane;Golgi apparatus;membrane fraction;Golgi stack;membrane;integral to membrane;
Q10471,type II,Polypeptide N-acetylgalactosaminyltransferase 2,0.829708693,1,,,Golgi stack;integral to Golgi membrane;Golgi apparatus;membrane;perinuclear region of cytoplasm;Golgi apparatus;extracellular region;Golgi apparatus;Golgi cisterna membrane;integral to membrane;
Q10472,type II,Polypeptide N-acetylgalactosaminyltransferase 1,1.635547273,1,,,perinuclear region of cytoplasm;membrane;extracellular region;integral to membrane;Golgi apparatus;Golgi cisterna membrane;
Q10567,cytosol,AP-1 complex subunit beta-1,0.872712137,1,,,membrane;membrane coat;clathrin adaptor complex;cytosol;cytoplasmic vesicle;clathrin coated vesicle membrane;Golgi apparatus;
Q10570,,Cleavage and polyadenylation specificity factor subunit 1,1.100826824,1,,,mRNA cleavage and polyadenylation specificity factor complex;nucleoplasm;nucleus;
Q10589,type II,Bone marrow stromal antigen 2,0.956610668,1,,,plasma membrane;integral to plasma membrane;Golgi apparatus;anchored to membrane;
Q10713,,Mitochondrial-processing peptidase subunit alpha,0.839212467,1,,,mitochondrial inner membrane;mitochondrion;mitochondrion;mitochondrial matrix;
